"","nbhd_name","AI_has_nature_anycost","AI_has_nature_lowcost","AI_has_nature_free","AI_has_sports_anycost","AI_has_sports_lowcost","AI_has_sports_free","AI_art_anycost","AI_art_lowcost","AI_art_free","AI_academic_anycost","AI_academic_lowcost","AI_academic_free","AI_overall","AI_overall_free"
"11","Chaffee Park",47.4317506214631,82.5556316708463,70.3131287567625,50.3205532917527,77.6140833031403,41.4428712661746,58.1467919491993,63.1822554595146,33.9995145992643,58.8714788705897,62.8249008389114,33.9995145992643,53.6926436832512,44.9387573053664
"12","Cheesman Park",49.6513615157727,67.6606829240286,73.5999971192934,59.0756527303749,66.4377801129289,41.112642966239,67.0145054465465,66.6296641004841,48.4345523077201,66.8298362411732,65.4327755054627,48.4345523077201,60.6428389834669,52.8954361752431
"13","Cherry Creek",66.0671901141577,75.9229805534347,71.4349042215207,71.8608927496615,63.3436739686786,32.5829085878374,73.0550648022602,60.5363578314956,35.7567903622621,73.3688738190817,59.7324366615302,35.7567903622621,71.0880053712903,43.8828483834706
"14","City Park",41.6272404151718,63.7905052819618,57.2216427839665,54.4992752192409,66.8049721874241,25.9920453121359,50.6561645465085,52.4734603358949,29.0036505899916,50.592641012208,52.1074778725767,29.0036505899916,49.3438302982823,35.3052473190214
"15","City Park West",45.0459989547054,70.6779559701086,70.8474013706214,57.5485863141058,74.8872118984625,32.0296671958951,60.7365823690287,64.245899216185,39.4831482032246,59.942147157906,63.7758948671206,39.4831482032246,55.8183286989365,45.4608412432415
"16","Civic Center",54.8540889610297,75.9429204320178,76.7350073887957,54.8500470871336,63.7380707166365,60.4416008216453,91.5935823482281,93.6709296636992,84.4895949988039,90.4938239778922,92.3776369510888,84.4895949988039,72.9478855935709,76.5389495520122
"17","Clayton",46.5772083119484,77.8656446095236,65.5485898104269,55.9415654104936,75.63125852,32.5775424086997,56.2248587137476,60.8116258056655,29.2369039035274,56.2746389047969,60.9218229307318,29.2369039035274,53.7545678352467,39.1499850065454
"18","Cole",44.3270300457875,77.4320991970192,68.000532212854,51.1239868417541,72.8765633940051,31.8239411428312,57.471414597076,63.6528875704839,33.7965684310095,57.3148403199639,63.6564147738444,33.7965684310095,52.5593179511454,41.854402554426
"19","College View - South Platte",37.017407816103,53.2427320289507,71.337769696478,34.5369888844733,47.4908031108103,30.1860878035111,43.9910553261089,40.8311372018528,25.7050603161865,46.6814049424969,39.6783380423817,25.7050603161865,40.5567142422956,38.2334945330905
"20","Congress Park",55.8236260793002,71.5778133026234,73.0823074322727,68.4479361182084,69.4658689944056,36.6939532306491,67.7593413971708,64.1780385075431,41.0934042474129,67.8721497783862,63.4166238476033,41.0934042474129,64.9757633432664,47.9907672894369
"21","Cory - Merrill",59.7903964208942,75.4083543336525,88.1368602788138,63.6011618075953,73.6224492581026,48.8312260353732,73.2587170895084,61.3576938003125,38.1851322867222,74.2430860349664,59.5513886948566,38.1851322867222,67.7233403382411,53.3345877219079
"22","Country Club",56.7414624711431,71.7922459756224,79.3432880345593,61.4970057818305,64.8100518234543,47.0398638440774,75.041901358213,71.2172020072723,54.0437524871553,75.0439829007729,69.0113126172378,54.0437524871553,67.0810881279899,58.6176642132368
"23","DIA",23.0292409914598,47.3938669635411,63.2637043822634,19.844961213746,28.524801668305,13.1900559832535,23.326601281216,27.2071500783841,9.77165740319373,24.2513329332167,27.1848655951854,9.77165740319373,22.6130341049096,23.9992687929761
"24","East Colfax",45.0711716225821,68.5243984681251,69.2002529637306,59.9000825938553,69.5894904730102,18.811061419331,47.2613649372806,47.2974161940224,19.3838300837218,47.7466042568595,47.3093964084877,19.3838300837218,49.9948058526443,31.6947436376263
"25","Elyria Swansea",48.9690612206867,85.6941228668346,73.2644961203435,53.0644552846828,76.166326517471,43.6001604992914,59.8974968070006,65.4548002598077,34.6786044149381,60.2187303784426,65.1892947616286,34.6786044149381,55.5374359227032,46.5554663623778
"26","Five Points",42.8197731693424,71.9278482066821,67.9114204639427,47.1860385730205,64.3009442639353,31.9444513205547,61.6976134449589,66.4097981079848,42.1577237806752,60.4771920639049,66.1484957120224,42.1577237806752,53.0451543128067,46.0428298364619
"27","Fort Logan",31.6402964844656,42.9338081004137,73.5186632203236,26.3941052916795,37.5130413959715,22.9485522248737,35.3579409832425,32.1726861153182,18.5464306235444,39.3542168675779,31.3646566722493,18.5464306235444,33.1866399067413,33.3900191730715
"28","Gateway - Green Valley Ranch",28.8538345328886,52.2644821053333,71.1005792306865,29.4515969030199,41.8301597257914,18.2777433029506,31.7318550283381,34.7959707944526,15.132789597456,32.9955097534426,34.6778343293067,15.132789597456,30.7581990544223,29.9109754321372
"29","Globeville",50.8984143208346,88.1886963832376,76.2697111222786,51.8859809425225,75.8344624545335,53.190442826703,65.5319639816997,70.7855425188382,41.6113749221586,65.7853109424745,70.2606130458393,41.6113749221586,58.5254175468828,53.1707259483247
"30","Goldsmith",52.7372053421738,67.939901231558,90.7433541726968,57.8273648327825,70.9051282949393,39.2535143432815,59.0782942827541,50.7419851343975,28.0037572012665,60.7970341348132,49.2901078439792,28.0037572012665,57.6099746481309,46.5010957296278
"31","Hale",56.6998655400703,73.2356181035189,73.3420910464044,72.72195146011,64.4206375236633,28.9611706000201,62.4948038310868,56.6217002335831,31.1567963918051,62.774194460412,56.2837259258508,31.1567963918051,63.6727038229198,41.1542136075087
"32","Hampden",41.5599686717328,55.6526477037148,90.0201445591307,47.7324421799993,63.9274200344731,29.2001766576955,46.2642744740498,41.7105598813403,21.8786997589438,48.6459258194198,40.91760957587,21.8786997589438,46.0506527863004,40.7444301836784
