"long","lat","name","class","has_nature","has_garden","has_biking","sqft","bgroup_id2","nbhd_id","nbhd_name"
-104.90877801,39.73499473,"Montclair Park","Neighborhood",FALSE,FALSE,FALSE,102534.980375888,"80310043041",46,"Montclair"
-104.91017136,39.68719896,"Cook (Judge Joseph E) Park","Community",TRUE,FALSE,TRUE,1647531.80263032,"80310052002",69,"Virginia Village"
-104.91051648,39.69037509,"Garland South Greenbelt","Linear",TRUE,FALSE,TRUE,107713.367838533,"80310050025",72,"Washington Virginia Vale"
-104.91112922,39.66592587,"Highline Canal (Colorado to Parker)","Linear",TRUE,FALSE,TRUE,2686127.50926292,"80310068121",32,"Hampden"
-104.91534993,39.71536396,"Crestmoor Park","Community",FALSE,FALSE,TRUE,1621398.34446772,"80310043063",37,"Hilltop"
-104.91688165,39.69538814,"Garland (David T) Park","Community",FALSE,FALSE,TRUE,2190289.29152314,"80310050011",72,"Washington Virginia Vale"
-104.91760912,39.69292982,"Old Cavalcade Trail","Linear",FALSE,FALSE,FALSE,80805.3836752418,"80310052001",69,"Virginia Village"
-104.91788879,39.70215728,"Garland North Greenbelt","Linear",TRUE,FALSE,TRUE,235614.859195931,"80310050011",72,"Washington Virginia Vale"
-104.92047744,39.64530472,"Jefferson Square Park","Neighborhood",FALSE,FALSE,FALSE,198333.899198799,"80310040041",58,"Southmoor Park"
-104.92055651,39.73228575,"Mayfair Park","Neighborhood",TRUE,FALSE,TRUE,212851.279765256,"80310043043",46,"Montclair"
-104.92112076,39.76471342,"Skyland Park","Neighborhood",FALSE,FALSE,TRUE,353278.967217144,"80310041023",49,"Northeast Park Hill"
-104.92362203,39.69600698,"City of Potenza Park","Neighborhood",FALSE,FALSE,TRUE,198360.347129689,"80310051021",69,"Virginia Village"
-104.92411106,39.68527668,"Ash Grove Park","Neighborhood",FALSE,FALSE,TRUE,317928.454726626,"80310051023",69,"Virginia Village"
-104.92692905,39.72020351,"Robinson Park","Neighborhood",FALSE,FALSE,FALSE,295543.93170473,"80310043031",37,"Hilltop"
-104.92731009,39.70310512,"Four Mile Historic Park","Special Use",FALSE,FALSE,FALSE,473722.179376465,"80310153002",72,"Washington Virginia Vale"
-104.92855539,39.75798479,"Unnamed 29th & Fairfax","Undeveloped",FALSE,FALSE,FALSE,15795.0634308485,"80310041032",48,"North Park Hill"
-104.93251192,39.75081245,"Ferguson (WH) Park","Pocket",FALSE,FALSE,FALSE,11475.6008514147,"80310042016",57,"South Park Hill"
-104.93288074,39.73404421,"Lindsley (Henry S) Park","Neighborhood",FALSE,FALSE,TRUE,307518.686454178,"80310043011",31,"Hale"
-104.93498827,39.76323046,"City of Axum Park","Neighborhood",FALSE,FALSE,FALSE,221490.646847864,"80310041013",49,"Northeast Park Hill"
