GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD02_VD56,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - In 2-person carpool: - 45 to 59 minutes"
HD01_VD57,"Estimate; Total: - Car, truck, or van: - Carpooled: - In 2-person carpool: - 60 or more minutes"
HD02_VD57,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - In 2-person carpool: - 60 or more minutes"
HD01_VD58,"Estimate; Total: - Car, truck, or van: - Carpooled: - In 3-or-more-person carpool:"
HD02_VD58,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - In 3-or-more-person carpool:"
HD01_VD59,"Estimate; Total: - Car, truck, or van: - Carpooled: - In 3-or-more-person carpool: - Less than 10 minutes"
HD02_VD59,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - In 3-or-more-person carpool: - Less than 10 minutes"
HD01_VD60,"Estimate; Total: - Car, truck, or van: - Carpooled: - In 3-or-more-person carpool: - 10 to 14 minutes"
HD02_VD60,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - In 3-or-more-person carpool: - 10 to 14 minutes"
HD01_VD61,"Estimate; Total: - Car, truck, or van: - Carpooled: - In 3-or-more-person carpool: - 15 to 19 minutes"
HD02_VD61,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - In 3-or-more-person carpool: - 15 to 19 minutes"
HD01_VD62,"Estimate; Total: - Car, truck, or van: - Carpooled: - In 3-or-more-person carpool: - 20 to 24 minutes"
HD02_VD62,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - In 3-or-more-person carpool: - 20 to 24 minutes"
HD01_VD63,"Estimate; Total: - Car, truck, or van: - Carpooled: - In 3-or-more-person carpool: - 25 to 29 minutes"
HD02_VD63,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - In 3-or-more-person carpool: - 25 to 29 minutes"
HD01_VD64,"Estimate; Total: - Car, truck, or van: - Carpooled: - In 3-or-more-person carpool: - 30 to 34 minutes"
HD02_VD64,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - In 3-or-more-person carpool: - 30 to 34 minutes"
HD01_VD65,"Estimate; Total: - Car, truck, or van: - Carpooled: - In 3-or-more-person carpool: - 35 to 44 minutes"
HD02_VD65,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - In 3-or-more-person carpool: - 35 to 44 minutes"
HD01_VD66,"Estimate; Total: - Car, truck, or van: - Carpooled: - In 3-or-more-person carpool: - 45 to 59 minutes"
HD02_VD66,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - In 3-or-more-person carpool: - 45 to 59 minutes"
HD01_VD67,"Estimate; Total: - Car, truck, or van: - Carpooled: - In 3-or-more-person carpool: - 60 or more minutes"
HD02_VD67,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - In 3-or-more-person carpool: - 60 or more minutes"
HD01_VD68,Estimate; Total: - Public transportation (excluding taxicab):
HD02_VD68,Margin of Error; Total: - Public transportation (excluding taxicab):
HD01_VD71,Estimate; Total: - Public transportation (excluding taxicab): - Less than 10 minutes
HD02_VD71,Margin of Error; Total: - Public transportation (excluding taxicab): - Less than 10 minutes
HD01_VD72,Estimate; Total: - Public transportation (excluding taxicab): - 10 to 14 minutes
HD02_VD72,Margin of Error; Total: - Public transportation (excluding taxicab): - 10 to 14 minutes
HD01_VD73,Estimate; Total: - Public transportation (excluding taxicab): - 15 to 19 minutes
HD02_VD73,Margin of Error; Total: - Public transportation (excluding taxicab): - 15 to 19 minutes
HD01_VD74,Estimate; Total: - Public transportation (excluding taxicab): - 20 to 24 minutes
HD02_VD74,Margin of Error; Total: - Public transportation (excluding taxicab): - 20 to 24 minutes
HD01_VD75,Estimate; Total: - Public transportation (excluding taxicab): - 25 to 29 minutes
HD02_VD75,Margin of Error; Total: - Public transportation (excluding taxicab): - 25 to 29 minutes
HD01_VD76,Estimate; Total: - Public transportation (excluding taxicab): - 30 to 34 minutes
HD02_VD76,Margin of Error; Total: - Public transportation (excluding taxicab): - 30 to 34 minutes
HD01_VD77,Estimate; Total: - Public transportation (excluding taxicab): - 35 to 44 minutes
HD02_VD77,Margin of Error; Total: - Public transportation (excluding taxicab): - 35 to 44 minutes
HD01_VD78,Estimate; Total: - Public transportation (excluding taxicab): - 45 to 59 minutes
HD02_VD78,Margin of Error; Total: - Public transportation (excluding taxicab): - 45 to 59 minutes
HD01_VD79,Estimate; Total: - Public transportation (excluding taxicab): - 60 or more minutes
HD02_VD79,Margin of Error; Total: - Public transportation (excluding taxicab): - 60 or more minutes
HD01_VD80,Estimate; Total: - Public transportation (excluding taxicab): - Bus or trolley bus:
HD02_VD80,Margin of Error; Total: - Public transportation (excluding taxicab): - Bus or trolley bus:
HD01_VD82,Estimate; Total: - Public transportation (excluding taxicab): - Bus or trolley bus: - Less than 10 minutes
HD02_VD82,Margin of Error; Total: - Public transportation (excluding taxicab): - Bus or trolley bus: - Less than 10 minutes
HD01_VD83,Estimate; Total: - Public transportation (excluding taxicab): - Bus or trolley bus: - 10 to 14 minutes
HD02_VD83,Margin of Error; Total: - Public transportation (excluding taxicab): - Bus or trolley bus: - 10 to 14 minutes
HD01_VD84,Estimate; Total: - Public transportation (excluding taxicab): - Bus or trolley bus: - 15 to 19 minutes
HD02_VD84,Margin of Error; Total: - Public transportation (excluding taxicab): - Bus or trolley bus: - 15 to 19 minutes
HD01_VD85,Estimate; Total: - Public transportation (excluding taxicab): - Bus or trolley bus: - 20 to 24 minutes
HD02_VD85,Margin of Error; Total: - Public transportation (excluding taxicab): - Bus or trolley bus: - 20 to 24 minutes
HD01_VD86,Estimate; Total: - Public transportation (excluding taxicab): - Bus or trolley bus: - 25 to 29 minutes
HD02_VD86,Margin of Error; Total: - Public transportation (excluding taxicab): - Bus or trolley bus: - 25 to 29 minutes
HD01_VD87,Estimate; Total: - Public transportation (excluding taxicab): - Bus or trolley bus: - 30 to 34 minutes
HD02_VD87,Margin of Error; Total: - Public transportation (excluding taxicab): - Bus or trolley bus: - 30 to 34 minutes
HD01_VD88,Estimate; Total: - Public transportation (excluding taxicab): - Bus or trolley bus: - 35 to 44 minutes
HD02_VD88,Margin of Error; Total: - Public transportation (excluding taxicab): - Bus or trolley bus: - 35 to 44 minutes
HD01_VD89,Estimate; Total: - Public transportation (excluding taxicab): - Bus or trolley bus: - 45 to 59 minutes
HD02_VD89,Margin of Error; Total: - Public transportation (excluding taxicab): - Bus or trolley bus: - 45 to 59 minutes
HD01_VD90,Estimate; Total: - Public transportation (excluding taxicab): - Bus or trolley bus: - 60 or more minutes
HD02_VD90,Margin of Error; Total: - Public transportation (excluding taxicab): - Bus or trolley bus: - 60 or more minutes
HD01_VD91,"Estimate; Total: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated:"
HD02_VD91,"Margin of Error; Total: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated:"
HD01_VD93,"Estimate; Total: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated: - Less than 10 minutes"
HD02_VD93,"Margin of Error; Total: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated: - Less than 10 minutes"
HD01_VD94,"Estimate; Total: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated: - 10 to 14 minutes"
HD02_VD94,"Margin of Error; Total: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated: - 10 to 14 minutes"
