"","Id","Id2","Geography","Estimate..Total.","Margin.of.Error..Total.","Estimate..Male.","Margin.of.Error..Male.","Estimate..Male....Under.5.years","Margin.of.Error..Male....Under.5.years","Estimate..Male....5.to.9.years","Margin.of.Error..Male....5.to.9.years","Estimate..Male....10.to.14.years","Margin.of.Error..Male....10.to.14.years","Estimate..Male....15.to.17.years","Margin.of.Error..Male....15.to.17.years","Estimate..Male....18.and.19.years","Margin.of.Error..Male....18.and.19.years","Estimate..Male....20.years","Margin.of.Error..Male....20.years","Estimate..Male....21.years","Margin.of.Error..Male....21.years","Estimate..Male....22.to.24.years","Margin.of.Error..Male....22.to.24.years","Estimate..Male....25.to.29.years","Margin.of.Error..Male....25.to.29.years","Estimate..Male....30.to.34.years","Margin.of.Error..Male....30.to.34.years","Estimate..Male....35.to.39.years","Margin.of.Error..Male....35.to.39.years","Estimate..Male....40.to.44.years","Margin.of.Error..Male....40.to.44.years","Estimate..Male....45.to.49.years","Margin.of.Error..Male....45.to.49.years","Estimate..Male....50.to.54.years","Margin.of.Error..Male....50.to.54.years","Estimate..Male....55.to.59.years","Margin.of.Error..Male....55.to.59.years","Estimate..Male....60.and.61.years","Margin.of.Error..Male....60.and.61.years","Estimate..Male....62.to.64.years","Margin.of.Error..Male....62.to.64.years","Estimate..Male....65.and.66.years","Margin.of.Error..Male....65.and.66.years","Estimate..Male....67.to.69.years","Margin.of.Error..Male....67.to.69.years","Estimate..Male....70.to.74.years","Margin.of.Error..Male....70.to.74.years","Estimate..Male....75.to.79.years","Margin.of.Error..Male....75.to.79.years","Estimate..Male....80.to.84.years","Margin.of.Error..Male....80.to.84.years","Estimate..Male....85.years.and.over","Margin.of.Error..Male....85.years.and.over","Estimate..Female.","Margin.of.Error..Female.","Estimate..Female....Under.5.years","Margin.of.Error..Female....Under.5.years","Estimate..Female....5.to.9.years","Margin.of.Error..Female....5.to.9.years","Estimate..Female....10.to.14.years","Margin.of.Error..Female....10.to.14.years","Estimate..Female....15.to.17.years","Margin.of.Error..Female....15.to.17.years","Estimate..Female....18.and.19.years","Margin.of.Error..Female....18.and.19.years","Estimate..Female....20.years","Margin.of.Error..Female....20.years","Estimate..Female....21.years","Margin.of.Error..Female....21.years","Estimate..Female....22.to.24.years","Margin.of.Error..Female....22.to.24.years","Estimate..Female....25.to.29.years","Margin.of.Error..Female....25.to.29.years","Estimate..Female....30.to.34.years","Margin.of.Error..Female....30.to.34.years","Estimate..Female....35.to.39.years","Margin.of.Error..Female....35.to.39.years","Estimate..Female....40.to.44.years","Margin.of.Error..Female....40.to.44.years","Estimate..Female....45.to.49.years","Margin.of.Error..Female....45.to.49.years","Estimate..Female....50.to.54.years","Margin.of.Error..Female....50.to.54.years","Estimate..Female....55.to.59.years","Margin.of.Error..Female....55.to.59.years","Estimate..Female....60.and.61.years","Margin.of.Error..Female....60.and.61.years","Estimate..Female....62.to.64.years","Margin.of.Error..Female....62.to.64.years","Estimate..Female....65.and.66.years","Margin.of.Error..Female....65.and.66.years","Estimate..Female....67.to.69.years","Margin.of.Error..Female....67.to.69.years","Estimate..Female....70.to.74.years","Margin.of.Error..Female....70.to.74.years","Estimate..Female....75.to.79.years","Margin.of.Error..Female....75.to.79.years","Estimate..Female....80.to.84.years","Margin.of.Error..Female....80.to.84.years","Estimate..Female....85.years.and.over","Margin.of.Error..Female....85.years.and.over"
"411","1500000US080310070373",80310070373,"Block Group 3, Census Tract 70.37, Denver County, Colorado",677,174,400,149,9,14,0,11,0,11,7,14,13,21,0,11,0,11,13,20,51,51,92,73,0,11,68,68,23,36,30,34,27,27,13,20,32,22,0,11,18,20,4,7,0,11,0,11,0,11,277,76,0,11,14,22,19,23,0,11,0,11,14,23,0,11,48,40,11,18,26,40,23,26,0,11,27,31,13,13,39,27,0,11,11,12,0,11,4,7,6,10,0,11,5,10,17,17
"412","1500000US080310070881",80310070881,"Block Group 1, Census Tract 70.88, Denver County, Colorado",1325,312,539,169,12,19,0,11,0,11,0,11,0,11,0,11,0,11,0,11,56,53,113,92,83,73,48,62,82,79,0,11,75,52,0,11,12,19,26,41,19,29,13,23,0,11,0,11,0,11,786,187,64,66,0,11,0,11,0,11,0,11,0,11,0,11,0,11,100,79,169,103,48,63,22,36,75,76,83,53,56,43,14,23,79,65,0,11,19,29,16,26,0,11,0,11,41,65
"413","1500000US080310070882",80310070882,"Block Group 2, Census Tract 70.88, Denver County, Colorado",912,361,624,264,83,62,0,11,0,11,0,11,33,54,0,11,42,67,66,48,105,84,0,11,22,34,99,82,0,11,26,41,148,129,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,288,183,34,53,22,33,23,37,23,37,0,11,0,11,0,11,27,42,0,11,0,11,90,72,37,61,20,32,0,11,12,20,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
"414","1500000US080310070883",80310070883,"Block Group 3, Census Tract 70.88, Denver County, Colorado",1326,228,662,155,78,73,23,22,10,16,0,11,0,11,0,11,0,11,34,34,25,30,35,39,18,30,13,21,13,19,44,54,66,50,0,11,34,39,48,52,0,11,61,52,47,58,8,19,105,66,664,160,43,50,0,11,15,26,0,11,0,11,0,11,0,11,25,41,36,44,35,42,0,11,0,11,38,30,17,28,22,32,16,28,32,39,75,74,79,58,67,62,21,33,0,11,143,79
"415","1500000US080310070884",80310070884,"Block Group 4, Census Tract 70.88, Denver County, Colorado",1058,294,544,165,0,11,39,56,14,24,0,11,0,11,0,11,14,22,62,61,97,68,92,65,92,77,12,19,0,11,38,35,0,11,80,89,4,14,0,11,0,11,0,11,0,11,0,11,0,11,514,187,8,14,60,67,0,11,0,11,0,11,0,11,0,11,89,65,154,89,55,53,65,49,0,11,0,11,40,62,43,69,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
"416","1500000US080310070891",80310070891,"Block Group 1, Census Tract 70.89, Denver County, Colorado",408,99,99,59,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,16,27,0,11,15,23,0,11,14,21,30,33,0,11,0,11,13,21,11,18,309,80,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,15,23,13,20,59,41,49,58,74,52,43,33,14,22,42,41
"417","1500000US080310070892",80310070892,"Block Group 2, Census Tract 70.89, Denver County, Colorado",1185,212,363,139,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,45,72,0,11,0,11,0,11,0,11,48,57,36,34,16,26,35,40,27,24,41,38,27,29,88,58,822,165,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,44,70,0,11,14,22,30,36,110,75,14,24,149,110,157,91,56,44,73,53,175,96
"418","1500000US080310070893",80310070893,"Block Group 3, Census Tract 70.89, Denver County, Colorado",1659,193,615,143,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,50,48,45,50,0,11,98,63,17,28,65,63,54,43,38,38,30,34,89,62,51,35,78,65,1044,178,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,17,27,12,20,146,104,24,30,114,72,66,66,54,42,99,60,170,87,100,61,242,107
"419","1500000US080310070894",80310070894,"Block Group 4, Census Tract 70.89, Denver County, Colorado",1523,326,705,188,40,46,42,67,68,51,53,46,0,11,12,20,16,26,0,11,13,22,42,54,21,38,33,37,102,83,72,50,0,11,14,23,58,47,16,27,0,11,13,21,28,22,0,11,62,90,818,191,0,11,20,33,0,11,21,52,0,11,0,11,9,14,28,44,92,92,20,31,133,44,46,34,51,45,84,102,28,32,63,52,42,40,0,11,33,37,36,42,40,31,58,70,14,22
"420","1500000US080310083041",80310083041,"Block Group 1, Census Tract 83.04, Denver County, Colorado",2092,392,1097,246,201,75,166,84,168,91,28,28,25,28,8,12,7,11,51,41,46,42,123,54,39,31,57,41,43,34,55,40,10,14,19,21,6,8,0,11,22,24,6,9,6,8,11,17,0,11,995,199,82,55,164,83,61,38,49,33,7,10,0,11,27,25,68,44,75,45,61,49,104,50,42,32,57,40,36,21,25,17,15,16,57,54,15,17,17,16,26,19,7,11,0,11,0,11
