"","Id","Id2","Geography","Estimate..Total.","Margin.of.Error..Total.","Estimate..Total....No.schooling.completed","Margin.of.Error..Total....No.schooling.completed","Estimate..Total....Nursery.school","Margin.of.Error..Total....Nursery.school","Estimate..Total....Kindergarten","Margin.of.Error..Total....Kindergarten","Estimate..Total....1st.grade","Margin.of.Error..Total....1st.grade","Estimate..Total....2nd.grade","Margin.of.Error..Total....2nd.grade","Estimate..Total....3rd.grade","Margin.of.Error..Total....3rd.grade","Estimate..Total....4th.grade","Margin.of.Error..Total....4th.grade","Estimate..Total....5th.grade","Margin.of.Error..Total....5th.grade","Estimate..Total....6th.grade","Margin.of.Error..Total....6th.grade","Estimate..Total....7th.grade","Margin.of.Error..Total....7th.grade","Estimate..Total....8th.grade","Margin.of.Error..Total....8th.grade","Estimate..Total....9th.grade","Margin.of.Error..Total....9th.grade","Estimate..Total....10th.grade","Margin.of.Error..Total....10th.grade","Estimate..Total....11th.grade","Margin.of.Error..Total....11th.grade","Estimate..Total....12th.grade..no.diploma","Margin.of.Error..Total....12th.grade..no.diploma","Estimate..Total....Regular.high.school.diploma","Margin.of.Error..Total....Regular.high.school.diploma","Estimate..Total....GED.or.alternative.credential","Margin.of.Error..Total....GED.or.alternative.credential","Estimate..Total....Some.college..less.than.1.year","Margin.of.Error..Total....Some.college..less.than.1.year","Estimate..Total....Some.college..1.or.more.years..no.degree","Margin.of.Error..Total....Some.college..1.or.more.years..no.degree","Estimate..Total....Associate.s.degree","Margin.of.Error..Total....Associate.s.degree","Estimate..Total....Bachelor.s.degree","Margin.of.Error..Total....Bachelor.s.degree","Estimate..Total....Master.s.degree","Margin.of.Error..Total....Master.s.degree","Estimate..Total....Professional.school.degree","Margin.of.Error..Total....Professional.school.degree","Estimate..Total....Doctorate.degree","Margin.of.Error..Total....Doctorate.degree"
"11","1500000US080310003012",80310003012,"Block Group 2, Census Tract 3.01, Denver County, Colorado",613,142,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,29,46,0,11,0,11,0,11,0,11,18,27,66,46,28,36,256,105,107,65,49,46,60,67
"12","1500000US080310003013",80310003013,"Block Group 3, Census Tract 3.01, Denver County, Colorado",774,200,0,11,0,11,0,11,0,11,0,11,24,36,0,11,0,11,0,11,0,11,0,11,0,11,52,62,0,11,0,11,179,114,24,40,46,52,170,113,0,11,165,107,96,57,18,29,0,11
"13","1500000US080310003014",80310003014,"Block Group 4, Census Tract 3.01, Denver County, Colorado",1066,257,60,76,0,11,0,11,0,11,0,11,0,11,0,11,0,11,49,78,0,11,0,11,9,21,92,93,0,11,51,77,104,96,37,47,41,44,32,48,38,40,366,149,123,59,49,43,15,24
"14","1500000US080310003015",80310003015,"Block Group 5, Census Tract 3.01, Denver County, Colorado",643,197,22,33,0,11,0,11,0,11,0,11,0,11,0,11,0,11,97,150,0,11,0,11,0,11,0,11,0,11,0,11,0,11,20,31,32,42,83,72,20,31,238,114,81,39,50,56,0,11
"15","1500000US080310003016",80310003016,"Block Group 6, Census Tract 3.01, Denver County, Colorado",702,163,3,7,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,3,7,0,11,0,11,0,11,65,61,68,91,35,55,14,23,74,77,290,118,87,46,49,56,14,19
"16","1500000US080310003021",80310003021,"Block Group 1, Census Tract 3.02, Denver County, Colorado",572,225,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,13,20,0,11,0,11,118,110,0,11,0,11,39,31,0,11,214,109,166,107,15,24,7,15
"17","1500000US080310003022",80310003022,"Block Group 2, Census Tract 3.02, Denver County, Colorado",535,196,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,56,84,41,35,0,11,7,17,46,48,0,11,296,167,70,85,8,14,11,18
"18","1500000US080310003023",80310003023,"Block Group 3, Census Tract 3.02, Denver County, Colorado",739,202,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,13,30,0,11,9,16,106,90,0,11,25,30,88,68,23,31,252,113,150,111,43,46,30,34
"19","1500000US080310003024",80310003024,"Block Group 4, Census Tract 3.02, Denver County, Colorado",494,208,0,11,0,11,0,11,0,11,0,11,25,39,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,16,26,0,11,0,11,82,61,45,52,207,127,104,80,15,24,0,11
"20","1500000US080310003025",80310003025,"Block Group 5, Census Tract 3.02, Denver County, Colorado",1157,222,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,11,18,19,31,64,61,11,21,19,30,306,155,20,33,455,187,207,109,0,11,45,43
"21","1500000US080310003031",80310003031,"Block Group 1, Census Tract 3.03, Denver County, Colorado",493,173,22,34,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,23,34,16,29,0,11,11,18,93,85,0,11,24,28,61,53,46,47,128,75,57,36,12,19,0,11
"22","1500000US080310003032",80310003032,"Block Group 2, Census Tract 3.03, Denver County, Colorado",774,223,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,26,28,0,11,0,11,0,11,99,80,4,8,11,19,121,91,41,60,254,94,154,90,27,31,37,38
"23","1500000US080310003033",80310003033,"Block Group 3, Census Tract 3.03, Denver County, Colorado",885,154,21,32,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,20,35,0,11,66,47,13,19,8,13,55,39,15,23,319,126,217,95,117,87,34,39
"24","1500000US080310003034",80310003034,"Block Group 4, Census Tract 3.03, Denver County, Colorado",578,216,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,56,68,0,11,25,30,12,21,22,35,72,109,25,38,168,84,136,86,20,20,42,42
"25","1500000US080310003035",80310003035,"Block Group 5, Census Tract 3.03, Denver County, Colorado",688,148,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,91,58,0,11,19,30,190,106,23,27,305,90,27,32,33,31,0,11
"26","1500000US080310003036",80310003036,"Block Group 6, Census Tract 3.03, Denver County, Colorado",633,151,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,8,14,39,29,14,22,0,11,92,86,0,11,296,112,77,43,51,44,56,50
"27","1500000US080310004011",80310004011,"Block Group 1, Census Tract 4.01, Denver County, Colorado",515,139,0,11,0,11,0,11,0,11,0,11,0,11,0,11,11,16,7,10,0,11,23,36,15,23,0,11,0,11,22,23,56,48,38,31,0,11,64,43,12,19,188,67,56,42,0,11,23,24
"28","1500000US080310004012",80310004012,"Block Group 2, Census Tract 4.01, Denver County, Colorado",634,136,17,27,0,11,0,11,0,11,0,11,0,11,0,11,0,11,9,16,5,9,22,29,19,20,25,36,27,25,35,39,60,46,20,24,20,23,25,28,41,46,220,84,32,28,39,50,18,20
"29","1500000US080310004013",80310004013,"Block Group 3, Census Tract 4.01, Denver County, Colorado",681,184,33,47,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,47,63,0,11,5,9,0,11,23,33,102,83,43,46,33,42,54,46,31,29,235,117,24,24,30,38,21,23
"30","1500000US080310004014",80310004014,"Block Group 4, Census Tract 4.01, Denver County, Colorado",667,143,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,16,25,53,66,94,60,46,48,38,33,81,54,23,25,163,81,120,64,33,41,0,11
"31","1500000US080310004021",80310004021,"Block Group 1, Census Tract 4.02, Denver County, Colorado",339,117,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,7,13,12,19,0,11,0,11,26,31,20,32,25,29,0,11,17,26,0,11,28,32,106,51,35,49,47,42,16,24
"32","1500000US080310004022",80310004022,"Block Group 2, Census Tract 4.02, Denver County, Colorado",1172,236,0,11,0,11,0,11,0,11,0,11,24,40,0,11,0,11,0,11,0,11,0,11,0,11,45,67,24,39,18,28,40,50,23,38,19,30,125,97,12,20,436,139,302,133,104,109,0,11
"33","1500000US080310004023",80310004023,"Block Group 3, Census Tract 4.02, Denver County, Colorado",1106,209,0,11,0,11,0,11,0,11,0,11,2,4,57,72,0,11,49,80,0,11,2,4,2,4,10,16,3,8,0,11,66,75,0,11,0,11,12,15,67,55,689,197,125,74,22,34,0,11
"34","1500000US080310004024",80310004024,"Block Group 4, Census Tract 4.02, Denver County, Colorado",528,181,14,26,0,11,0,11,0,11,23,18,0,11,25,20,0,11,44,34,0,11,0,11,0,11,0,11,0,11,20,33,35,39,26,41,0,11,14,22,17,26,181,97,61,45,48,52,20,32
"35","1500000US080310004025",80310004025,"Block Group 5, Census Tract 4.02, Denver County, Colorado",716,189,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,42,48,22,26,221,145,0,11,0,11,67,70,10,26,224,89,69,45,38,51,23,34
"36","1500000US080310004026",80310004026,"Block Group 6, Census Tract 4.02, Denver County, Colorado",377,136,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,8,15,0,11,6,12,0,11,0,11,97,99,0,11,21,25,78,43,128,62,23,29,16,25
"37","1500000US080310005011",80310005011,"Block Group 1, Census Tract 5.01, Denver County, Colorado",909,98,24,32,0,11,0,11,0,11,0,11,0,11,0,11,7,12,6,8,0,11,14,22,8,11,0,11,7,10,14,14,89,43,13,14,21,16,82,35,75,38,255,63,207,61,48,30,39,33
"38","1500000US080310005012",80310005012,"Block Group 2, Census Tract 5.01, Denver County, Colorado",682,98,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,8,11,0,11,7,10,78,39,6,10,25,19,39,20,6,9,274,80,169,56,40,30,30,25
"39","1500000US080310005021",80310005021,"Block Group 1, Census Tract 5.02, Denver County, Colorado",872,232,30,35,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,117,110,29,44,0,11,0,11,22,36,0,11,92,78,26,32,0,11,118,91,29,28,279,95,130,72,0,11,0,11
"40","1500000US080310005022",80310005022,"Block Group 2, Census Tract 5.02, Denver County, Colorado",1152,221,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,53,64,29,47,24,38,34,56,37,40,160,96,42,34,495,146,185,82,93,104,0,11
"41","1500000US080310005023",80310005023,"Block Group 3, Census Tract 5.02, Denver County, Colorado",669,234,15,23,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,107,92,38,60,69,65,55,50,127,123,138,93,59,46,35,58,26,41
"42","1500000US080310005024",80310005024,"Block Group 4, Census Tract 5.02, Denver County, Colorado",1146,254,47,59,0,11,0,11,0,11,0,11,20,30,0,11,53,54,0,11,15,26,25,28,0,11,89,93,0,11,0,11,249,161,88,104,38,49,113,90,42,39,246,123,83,64,38,47,0,11
"43","1500000US080310005025",80310005025,"Block Group 5, Census Tract 5.02, Denver County, Colorado",722,230,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,19,30,0,11,0,11,0,11,0,11,20,33,0,11,69,47,48,77,0,11,29,48,33,52,360,165,120,119,24,44,0,11
"44","1500000US080310006001",80310006001,"Block Group 1, Census Tract 6, Denver County, Colorado",1065,170,26,41,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,22,30,18,30,31,33,0,11,35,54,73,66,48,52,0,11,134,58,79,58,380,119,198,71,13,23,8,14
"45","1500000US080310006002",80310006002,"Block Group 2, Census Tract 6, Denver County, Colorado",1293,251,0,11,0,11,0,11,0,11,24,39,35,45,0,11,43,47,14,18,27,39,146,144,182,114,0,11,79,127,34,47,110,76,77,66,43,43,61,54,18,21,272,72,117,52,11,19,0,11
"46","1500000US080310007011",80310007011,"Block Group 1, Census Tract 7.01, Denver County, Colorado",1142,189,61,43,0,11,0,11,0,11,39,60,0,11,0,11,0,11,23,36,6,12,9,14,29,35,19,30,37,36,17,19,179,86,89,68,120,73,130,64,77,61,180,66,109,64,10,16,8,13
"47","1500000US080310007012",80310007012,"Block Group 2, Census Tract 7.01, Denver County, Colorado",732,227,10,17,0,11,0,11,0,11,0,11,18,21,0,11,0,11,14,21,0,11,0,11,18,29,0,11,23,35,125,108,65,44,12,19,27,24,150,101,44,34,140,77,74,56,0,11,12,18
"48","1500000US080310007013",80310007013,"Block Group 3, Census Tract 7.01, Denver County, Colorado",1074,250,55,53,0,11,0,11,0,11,0,11,6,15,0,11,0,11,51,49,12,19,21,32,67,62,8,12,109,90,18,26,189,97,73,55,79,93,107,63,39,28,147,81,60,46,18,19,15,23
"49","1500000US080310007021",80310007021,"Block Group 1, Census Tract 7.02, Denver County, Colorado",520,189,15,16,0,11,0,11,0,11,32,53,0,11,0,11,0,11,11,18,0,11,16,25,7,12,0,11,60,57,0,11,195,107,26,41,0,11,8,16,22,18,98,81,21,25,9,14,0,11
"50","1500000US080310007022",80310007022,"Block Group 2, Census Tract 7.02, Denver County, Colorado",1037,228,10,15,0,11,0,11,0,11,0,11,24,39,0,11,0,11,52,59,0,11,85,77,40,47,41,46,30,46,9,14,172,88,21,22,81,62,213,132,42,33,146,81,44,29,13,20,14,22
"51","1500000US080310007023",80310007023,"Block Group 3, Census Tract 7.02, Denver County, Colorado",667,201,106,99,0,11,0,11,0,11,0,11,0,11,25,39,0,11,30,35,43,61,0,11,0,11,0,11,18,28,16,26,54,44,110,79,25,40,122,86,37,58,67,50,7,12,7,10,0,11
"52","1500000US080310007024",80310007024,"Block Group 4, Census Tract 7.02, Denver County, Colorado",446,188,9,14,0,11,0,11,0,11,0,11,0,11,0,11,0,11,9,14,0,11,14,19,23,32,4,10,21,29,19,28,67,82,17,23,24,26,64,53,14,32,119,68,25,29,0,11,17,19
"53","1500000US080310007025",80310007025,"Block Group 5, Census Tract 7.02, Denver County, Colorado",488,159,13,20,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,9,13,25,22,0,11,27,31,18,28,177,91,0,11,33,50,38,25,0,11,111,76,37,31,0,11,0,11
"54","1500000US080310008001",80310008001,"Block Group 1, Census Tract 8, Denver County, Colorado",514,95,47,40,0,11,0,11,0,11,0,11,18,27,27,32,16,25,5,9,11,11,15,17,7,10,26,19,64,53,14,21,89,66,35,29,6,11,91,56,12,15,23,33,1,2,7,10,0,11
"55","1500000US080310009021",80310009021,"Block Group 1, Census Tract 9.02, Denver County, Colorado",428,172,15,15,0,11,0,11,0,11,0,11,0,11,0,11,0,11,18,31,0,11,13,20,68,85,0,11,17,26,25,20,60,60,23,28,17,21,50,41,31,29,56,35,35,27,0,11,0,11
"56","1500000US080310009022",80310009022,"Block Group 2, Census Tract 9.02, Denver County, Colorado",544,221,0,11,0,11,0,11,0,11,11,17,14,22,9,13,0,11,51,70,0,11,17,25,16,17,0,11,8,12,65,72,97,54,76,97,26,24,44,37,7,11,103,74,0,11,0,11,0,11
"57","1500000US080310009023",80310009023,"Block Group 3, Census Tract 9.02, Denver County, Colorado",739,180,34,31,0,11,0,11,0,11,0,11,0,11,0,11,40,63,22,37,0,11,12,21,75,66,12,20,40,45,19,18,203,113,67,48,24,29,83,55,16,26,75,54,17,18,0,11,0,11
"58","1500000US080310009024",80310009024,"Block Group 4, Census Tract 9.02, Denver County, Colorado",979,201,49,47,0,11,0,11,0,11,0,11,26,40,22,39,37,44,0,11,0,11,29,35,63,55,21,33,50,55,6,10,273,87,23,27,47,33,122,71,46,32,102,54,32,27,31,36,0,11
"59","1500000US080310009025",80310009025,"Block Group 5, Census Tract 9.02, Denver County, Colorado",1074,241,54,49,0,11,0,11,0,11,0,11,0,11,0,11,41,60,122,98,0,11,75,54,10,14,85,76,8,13,87,73,164,76,44,46,63,48,112,74,65,47,91,49,44,41,9,14,0,11
"60","1500000US080310009031",80310009031,"Block Group 1, Census Tract 9.03, Denver County, Colorado",847,198,0,11,0,11,0,11,0,11,55,82,37,45,0,11,8,13,87,63,0,11,25,24,48,45,31,38,7,12,36,43,228,109,68,58,31,22,34,28,21,25,102,53,16,17,13,21,0,11
"61","1500000US080310009032",80310009032,"Block Group 2, Census Tract 9.03, Denver County, Colorado",701,225,9,14,0,11,0,11,0,11,0,11,72,48,7,15,6,9,4,7,0,11,44,56,21,34,29,28,49,47,49,55,210,147,5,9,6,12,151,95,18,20,21,33,0,11,0,11,0,11
"62","1500000US080310009033",80310009033,"Block Group 3, Census Tract 9.03, Denver County, Colorado",690,247,0,11,0,11,0,11,0,11,4,7,5,7,0,11,0,11,47,75,39,64,52,82,50,49,83,94,65,67,9,14,133,104,13,19,29,25,136,70,9,13,16,17,0,11,0,11,0,11
"63","1500000US080310009034",80310009034,"Block Group 4, Census Tract 9.03, Denver County, Colorado",995,258,48,78,0,11,0,11,19,30,0,11,26,34,62,89,36,46,79,66,16,19,12,18,30,43,24,38,9,15,18,27,186,87,125,81,34,27,169,81,56,49,46,34,0,11,0,11,0,11
"64","1500000US080310009035",80310009035,"Block Group 5, Census Tract 9.03, Denver County, Colorado",486,135,0,11,0,11,0,11,0,11,0,11,20,32,16,25,5,8,7,10,8,12,16,23,15,17,17,20,13,20,23,36,69,63,61,41,32,24,91,58,0,11,78,56,15,17,0,11,0,11
"65","1500000US080310009041",80310009041,"Block Group 1, Census Tract 9.04, Denver County, Colorado",640,165,0,11,0,11,0,11,0,11,0,11,7,12,9,14,0,11,53,46,0,11,20,30,92,92,21,24,31,35,29,34,111,69,91,65,48,45,47,39,7,11,45,34,10,15,8,14,11,17
"66","1500000US080310009042",80310009042,"Block Group 2, Census Tract 9.04, Denver County, Colorado",977,149,67,55,0,11,0,11,0,11,0,11,0,11,14,15,6,10,37,34,29,33,59,55,49,37,38,32,51,43,18,20,181,79,51,30,52,35,188,74,32,29,78,48,27,25,0,11,0,11
"67","1500000US080310009043",80310009043,"Block Group 3, Census Tract 9.04, Denver County, Colorado",355,128,20,31,0,11,0,11,0,11,0,11,0,11,0,11,26,29,16,18,0,11,0,11,17,27,14,21,61,52,0,11,86,57,15,23,23,27,38,36,0,11,39,31,0,11,0,11,0,11
"68","1500000US080310009044",80310009044,"Block Group 4, Census Tract 9.04, Denver County, Colorado",1012,229,15,22,0,11,0,11,0,11,7,12,28,43,18,29,21,32,98,81,0,11,38,42,105,70,34,31,0,11,65,46,281,156,17,19,18,26,105,93,93,71,50,42,19,30,0,11,0,11
"69","1500000US080310009051",80310009051,"Block Group 1, Census Tract 9.05, Denver County, Colorado",640,217,15,23,0,11,0,11,0,11,0,11,0,11,0,11,0,11,29,41,0,11,8,13,17,18,12,14,0,11,0,11,137,99,54,51,30,36,135,91,27,41,152,86,7,11,0,11,17,27
"70","1500000US080310009052",80310009052,"Block Group 2, Census Tract 9.05, Denver County, Colorado",799,319,15,23,0,11,0,11,0,11,0,11,32,51,14,22,0,11,125,92,0,11,20,23,23,21,40,42,30,48,61,72,235,230,39,44,0,11,70,54,15,18,35,31,29,31,0,11,16,24
"71","1500000US080310009053",80310009053,"Block Group 3, Census Tract 9.05, Denver County, Colorado",469,148,0,11,0,11,0,11,0,11,26,40,0,11,13,21,0,11,57,39,0,11,19,20,47,39,0,11,13,21,0,11,137,76,16,26,26,24,24,20,26,31,56,49,0,11,9,13,0,11
"72","1500000US080310009054",80310009054,"Block Group 4, Census Tract 9.05, Denver County, Colorado",835,221,46,43,0,11,0,11,0,11,0,11,0,11,0,11,0,11,24,25,0,11,0,11,65,67,28,32,53,68,18,20,142,98,64,52,35,41,82,57,88,66,155,161,35,33,0,11,0,11
"73","1500000US080310010001",80310010001,"Block Group 1, Census Tract 10, Denver County, Colorado",848,246,11,19,0,11,0,11,0,11,0,11,0,11,60,55,0,11,82,68,21,32,12,20,135,99,154,109,6,10,0,11,223,101,30,36,6,10,57,44,0,11,45,52,6,10,0,11,0,11
"74","1500000US080310010002",80310010002,"Block Group 2, Census Tract 10, Denver County, Colorado",472,170,7,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,18,30,13,24,0,11,64,54,17,20,44,66,8,14,131,73,19,24,19,25,72,63,0,11,39,34,21,38,0,11,0,11
"75","1500000US080310010003",80310010003,"Block Group 3, Census Tract 10, Denver County, Colorado",1163,318,25,27,0,11,0,11,0,11,0,11,0,11,0,11,75,84,108,84,0,11,7,12,24,44,14,23,83,85,27,42,373,180,7,11,0,11,109,93,96,73,151,96,0,11,64,86,0,11
"76","1500000US080310011011",80310011011,"Block Group 1, Census Tract 11.01, Denver County, Colorado",313,90,18,23,0,11,0,11,0,11,0,11,18,20,0,11,0,11,18,24,0,11,7,11,3,5,20,21,34,27,0,11,98,55,5,7,7,11,2,4,5,9,56,32,12,9,10,10,0,11
"77","1500000US080310011012",80310011012,"Block Group 2, Census Tract 11.01, Denver County, Colorado",310,78,9,9,0,11,0,11,0,11,0,11,0,11,0,11,31,36,0,11,37,36,0,11,21,25,0,11,15,22,0,11,57,36,9,14,6,9,41,49,48,33,32,26,4,6,0,11,0,11
"78","1500000US080310011013",80310011013,"Block Group 3, Census Tract 11.01, Denver County, Colorado",645,165,19,21,0,11,0,11,20,28,0,11,13,17,0,11,0,11,7,10,0,11,0,11,44,55,35,42,17,19,4,6,100,65,33,37,30,32,113,59,13,14,154,59,5,9,14,13,24,30
"79","1500000US080310011014",80310011014,"Block Group 4, Census Tract 11.01, Denver County, Colorado",509,109,30,30,0,11,0,11,0,11,0,11,0,11,0,11,0,11,5,8,5,8,29,33,12,12,18,22,19,24,21,19,109,55,77,53,5,7,32,29,16,18,78,40,38,26,3,9,12,12
"80","1500000US080310011021",80310011021,"Block Group 1, Census Tract 11.02, Denver County, Colorado",586,152,26,33,0,11,0,11,0,11,0,11,0,11,20,31,0,11,50,40,7,10,0,11,0,11,0,11,0,11,12,21,153,83,18,31,12,19,73,54,0,11,124,67,68,43,23,22,0,11
"81","1500000US080310011022",80310011022,"Block Group 2, Census Tract 11.02, Denver County, Colorado",529,158,1,5,0,11,0,11,0,11,0,11,0,11,5,8,0,11,4,8,0,11,23,25,8,13,0,11,58,67,0,11,53,56,6,11,15,13,46,29,65,68,201,69,30,24,14,18,0,11
"82","1500000US080310011023",80310011023,"Block Group 3, Census Tract 11.02, Denver County, Colorado",1630,253,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,32,39,0,11,0,11,17,26,2,6,39,35,37,34,30,34,98,63,86,80,895,213,255,83,74,57,65,86
"83","1500000US080310013011",80310013011,"Block Group 1, Census Tract 13.01, Denver County, Colorado",740,209,0,11,0,11,0,11,0,11,0,11,0,11,0,11,8,13,10,14,0,11,30,23,59,80,64,58,6,10,6,10,174,159,16,27,71,48,121,89,52,44,107,75,16,24,0,11,0,11
