"","X","Id","Id2","Geography","TTL_population","Male","Female","Total","Age_Less_5","Age_5_to_9","Age_10_to_14","Age_15_to_17","Age_Less_18","Age_0_to_9","Age_10_to_19","Age_20_to_29","Age_30_to_39","Age_40_to_49","Age_50_to_59","Age_60_to_69","Age_70_to_79","Age_80_and_over","PCT_Less_18","White","Black","AmericanIndian","Asian","PacificIslanders","OtherRaces","Two.or.more.races","PCT_White","PCT_African","PCT_AmericanIndian","PCT_Asian","PCT_PacificIslander","PCT_OtherRaces","PCT_Two.or.more.races","Hispanic","PCT_Hispanic","TTPOP_25PLUS_EDU","LESS_THAN_HS_DIPLOMA","HSGREAD_OR_EQUIV_EDU","SOMECOLLEGE_OR_AA_EDU","BACHELORS_OR_HIGHER_EDU","Median_HH_income","Native","PCT_Housing_rent","PCT_Vehicle_none","PCT_Vehicle_own","TTPOP_18PLUS_LNG","LNG_English","LNG_Spanish","LNG_Spanish_English_bad","LNG_IndoEuropean","LNG_IndoEuropean_English_bad","LNG_AsianPacific","LNG_AsianPacific_English_bad","LNG_Others","LNG_Others_English_bad","TTL_HH_Children_under_18","Poverty_HH","Poverty_PCT_HH","MarriedCouple_HH","SingleDad_HH","SingleMom_HH","PCT_MarriedCouple_HH","PCT_SingleDad_HH","PCT_SingleMom_HH"
"21",21,"1500000US080310003031",80310003031,"Block Group 1, Census Tract 3.03, Denver County, Colorado",39,269,317,586,23,46,25,0,94,69,25,55,121,161,101,24,13,17,16.0409556313993,586,0,0,0,0,0,0,100,0,0,0,0,0,0,165,423.076923076923,492,47,125,133,187,"108646",552,5.97609561752988,0,100,492,479,0,13,0,0,43,43,13,0,51,12,23.5294117647059,39,12,0,76.4705882352941,23.5294117647059,0
"22",22,"1500000US080310003032",80310003032,"Block Group 2, Census Tract 3.03, Denver County, Colorado",62,409,360,769,12,50,21,20,103,62,41,132,248,50,42,108,61,25,13.3940182054616,735,9,0,15,0,0,20,95.5786736020806,1.1703511053316,0,1.95058517555267,0,0,2.60078023407022,156,251.612903225806,662,20,91,90,461,"-",746,42.0673076923077,10.5769230769231,89.4230769230769,666,627,36,3,0,0,143,104,3,3,44,20,45.4545454545455,24,0,20,54.5454545454545,0,45.4545454545455
"23",23,"1500000US080310003033",80310003033,"Block Group 3, Census Tract 3.03, Denver County, Colorado",72,482,611,1093,93,31,27,33,184,124,60,183,267,142,28,183,77,29,16.8344007319305,964,0,0,71,0,17,82,88.1976212259835,0,0,6.49588289112534,0,1.55535224153705,7.50228728270814,93,129.166666666667,886,43,105,54,684,"77333",993,50.5836575875486,2.91828793774319,97.0817120622568,909,828,29,0,52,0,209,164,0,0,110,0,0,82,0,28,74.5454545454545,0,25.4545454545455
"24",24,"1500000US080310003034",80310003034,"Block Group 4, Census Tract 3.03, Denver County, Colorado",37,203,289,492,48,13,0,0,61,61,0,155,109,54,26,16,29,42,12.3983739837398,474,0,0,18,0,0,0,96.3414634146341,0,0,3.65853658536585,0,0,0,150,405.405405405405,407,28,63,13,303,"62692",474,41.9117647058824,5.88235294117647,94.1176470588235,431,325,93,0,13,0,122,29,58,0,33,0,0,20,0,13,60.6060606060606,0,39.3939393939394
"25",25,"1500000US080310003035",80310003035,"Block Group 5, Census Tract 3.03, Denver County, Colorado",51,450,391,841,16,36,10,49,111,52,59,126,247,147,129,66,15,0,13.1985731272295,826,0,0,0,0,0,30,98.2164090368609,0,0,0,0,0,3.56718192627824,37,72.5490196078431,730,0,110,217,403,"99375",810,20.9677419354839,0,100,730,689,15,26,0,0,45,30,26,0,78,0,0,50,0,28,64.1025641025641,0,35.8974358974359
"26",26,"1500000US080310003036",80310003036,"Block Group 6, Census Tract 3.03, Denver County, Colorado",43,302,343,645,31,43,0,0,74,74,0,123,145,117,49,46,91,0,11.4728682170543,627,18,0,0,0,0,0,97.2093023255814,2.7906976744186,0,0,0,0,0,6,13.953488372093,571,14,95,70,392,"89145",610,31.2320916905444,0,100,571,536,0,29,0,6,91,85,29,0,47,0,0,31,0,16,65.9574468085106,0,34.0425531914894
"27",27,"1500000US080310004011",80310004011,"Block Group 1, Census Tract 4.01, Denver County, Colorado",70,353,402,755,72,69,53,6,200,141,59,117,139,128,59,71,16,25,26.4900662251656,626,42,0,41,0,46,0,82.9139072847682,5.56291390728477,0,5.43046357615894,0,6.09271523178808,0,280,400,490,93,83,60,254,"92500",576,30.7692307692308,3.84615384615385,96.1538461538462,555,357,167,0,31,0,135,96,39,0,109,35,32.1100917431193,42,0,67,38.5321100917431,0,61.4678899082569
"28",28,"1500000US080310004012",80310004012,"Block Group 2, Census Tract 4.01, Denver County, Colorado",80,512,497,1009,102,65,45,0,212,167,45,172,270,93,110,96,37,19,21.0109018830525,875,0,27,0,0,91,32,86.7195242814668,0,2.67591674925669,0,0,9.01883052527255,3.17145688800793,622,777.5,769,162,92,210,305,"88125",934,31.7901234567901,15.1234567901235,84.8765432098765,797,574,223,0,0,0,212,49,44,0,90,10,11.1111111111111,69,11,10,76.6666666666667,12.2222222222222,11.1111111111111
"29",29,"1500000US080310004013",80310004013,"Block Group 3, Census Tract 4.01, Denver County, Colorado",68,426,332,758,34,26,26,0,86,60,26,148,244,49,108,10,98,15,11.3456464379947,721,0,16,0,0,9,24,95.1187335092348,0,2.11081794195251,0,0,1.18733509234828,3.16622691292876,207,304.411764705882,620,51,172,88,309,"48235",712,55.7894736842105,2.36842105263158,97.6315789473684,672,543,77,52,0,0,200,71,0,52,67,0,0,48,0,19,71.6417910447761,0,28.3582089552239
"30",30,"1500000US080310004014",80310004014,"Block Group 4, Census Tract 4.01, Denver County, Colorado",82,330,576,906,48,9,54,35,146,57,89,244,301,128,40,24,15,8,16.1147902869757,677,3,0,2,0,207,34,74.7240618101545,0.33112582781457,0,0.22075055187638,0,22.8476821192053,3.75275938189845,287,350,720,51,145,121,403,"56641",864,58.9622641509434,0,100,760,673,83,0,4,0,77,74,0,0,99,36,36.3636363636364,17,8,74,17.1717171717172,8.08080808080808,74.7474747474748
"31",31,"1500000US080310004021",80310004021,"Block Group 1, Census Tract 4.02, Denver County, Colorado",43,269,275,544,48,12,0,27,87,60,37,76,173,54,51,73,20,0,15.9926470588235,470,0,0,0,0,58,32,86.3970588235294,0,0,0,0,10.6617647058824,5.88235294117647,98,227.906976744186,401,34,31,74,262,"100114",544,44.4444444444444,11.1111111111111,88.8888888888889,457,454,3,0,0,0,38,35,3,0,51,0,0,51,0,0,100,0,0
"32",32,"1500000US080310004022",80310004022,"Block Group 2, Census Tract 4.02, Denver County, Colorado",75,638,642,1280,62,68,78,20,228,130,98,279,249,429,33,13,33,16,17.8125,1202,46,0,17,0,0,30,93.90625,3.59375,0,1.328125,0,0,2.34375,246,328,1020,62,47,106,805,"97417",1239,44.8613376835237,2.77324632952692,97.2267536704731,1052,949,86,0,17,0,99,13,36,0,143,0,0,126,0,17,88.1118881118881,0,11.8881118881119
