"X","Row.names","camp_id","session_id","camp_zip","camp_address_1","session_size","session_cost","session_date_start","session_date_end","session_categories","calendar_date","start.time.hours","end.time.hours","duration","lat","long","NBHD_Name"
8961,2346,924,"39509","80210","1855 S Pearl Street",32,"275","2019-08-05 00:00:00","2019-08-09 00:00:00","nature,offersBeforeAfterCare,scholarshipsAvailable","2019-08-06","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8962,2347,924,"39509","80210","1855 S Pearl Street",32,"275","2019-08-05 00:00:00","2019-08-09 00:00:00","nature,offersBeforeAfterCare,scholarshipsAvailable","2019-08-07","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8963,2348,924,"39509","80210","1855 S Pearl Street",32,"275","2019-08-05 00:00:00","2019-08-09 00:00:00","nature,offersBeforeAfterCare,scholarshipsAvailable","2019-08-08","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8964,2349,924,"39509","80210","1855 S Pearl Street",32,"275","2019-08-05 00:00:00","2019-08-09 00:00:00","nature,offersBeforeAfterCare,scholarshipsAvailable","2019-08-09","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8965,235,991,"43551","80222","4400 E. Iliff Ave.",0,"540","2019-06-10 00:00:00","2019-07-12 00:00:00","academic","2019-07-05","11:15 AM","12:45 PM",1.5,39.7342032,-104.8846904,NA
8966,2350,924,"39510","80210","1855 S Pearl Street",30,"275","2019-08-05 00:00:00","2019-08-09 00:00:00","scholarshipsAvailable,offersBeforeAfterCare,nature","2019-08-05","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8967,2351,924,"39510","80210","1855 S Pearl Street",30,"275","2019-08-05 00:00:00","2019-08-09 00:00:00","scholarshipsAvailable,offersBeforeAfterCare,nature","2019-08-06","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8968,2352,924,"39510","80210","1855 S Pearl Street",30,"275","2019-08-05 00:00:00","2019-08-09 00:00:00","scholarshipsAvailable,offersBeforeAfterCare,nature","2019-08-07","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8969,2353,924,"39510","80210","1855 S Pearl Street",30,"275","2019-08-05 00:00:00","2019-08-09 00:00:00","scholarshipsAvailable,offersBeforeAfterCare,nature","2019-08-08","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8970,2354,924,"39510","80210","1855 S Pearl Street",30,"275","2019-08-05 00:00:00","2019-08-09 00:00:00","scholarshipsAvailable,offersBeforeAfterCare,nature","2019-08-09","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8971,2355,924,"39511","80210","1855 S Pearl Street",32,"275","2019-08-12 00:00:00","2019-08-16 00:00:00","scholarshipsAvailable,offersBeforeAfterCare,nature","2019-08-12","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8972,2356,924,"39511","80210","1855 S Pearl Street",32,"275","2019-08-12 00:00:00","2019-08-16 00:00:00","scholarshipsAvailable,offersBeforeAfterCare,nature","2019-08-13","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8973,2357,924,"39511","80210","1855 S Pearl Street",32,"275","2019-08-12 00:00:00","2019-08-16 00:00:00","scholarshipsAvailable,offersBeforeAfterCare,nature","2019-08-14","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8974,2358,924,"39511","80210","1855 S Pearl Street",32,"275","2019-08-12 00:00:00","2019-08-16 00:00:00","scholarshipsAvailable,offersBeforeAfterCare,nature","2019-08-15","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8975,2359,924,"39511","80210","1855 S Pearl Street",32,"275","2019-08-12 00:00:00","2019-08-16 00:00:00","scholarshipsAvailable,offersBeforeAfterCare,nature","2019-08-16","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8976,236,991,"43551","80222","4400 E. Iliff Ave.",0,"540","2019-06-10 00:00:00","2019-07-12 00:00:00","academic","2019-07-08","11:15 AM","12:45 PM",1.5,39.7342032,-104.8846904,NA
8977,2360,924,"39512","80210","1855 S Pearl Street",30,"275","2019-08-12 00:00:00","2019-08-16 00:00:00","scholarshipsAvailable,nature,offersBeforeAfterCare","2019-08-12","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8978,2361,924,"39512","80210","1855 S Pearl Street",30,"275","2019-08-12 00:00:00","2019-08-16 00:00:00","scholarshipsAvailable,nature,offersBeforeAfterCare","2019-08-13","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8979,2362,924,"39512","80210","1855 S Pearl Street",30,"275","2019-08-12 00:00:00","2019-08-16 00:00:00","scholarshipsAvailable,nature,offersBeforeAfterCare","2019-08-14","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8980,2363,924,"39512","80210","1855 S Pearl Street",30,"275","2019-08-12 00:00:00","2019-08-16 00:00:00","scholarshipsAvailable,nature,offersBeforeAfterCare","2019-08-15","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8981,2364,924,"39512","80210","1855 S Pearl Street",30,"275","2019-08-12 00:00:00","2019-08-16 00:00:00","scholarshipsAvailable,nature,offersBeforeAfterCare","2019-08-16","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8982,2365,984,"43187","80203","1617 S. Acoma St.",0,"225","2019-06-10 00:00:00","2019-06-14 00:00:00","sports,offersBeforeAfterCare","2019-06-10","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8983,2366,984,"43187","80203","1617 S. Acoma St.",0,"225","2019-06-10 00:00:00","2019-06-14 00:00:00","sports,offersBeforeAfterCare","2019-06-11","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8984,2367,984,"43187","80203","1617 S. Acoma St.",0,"225","2019-06-10 00:00:00","2019-06-14 00:00:00","sports,offersBeforeAfterCare","2019-06-12","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8985,2368,984,"43187","80203","1617 S. Acoma St.",0,"225","2019-06-10 00:00:00","2019-06-14 00:00:00","sports,offersBeforeAfterCare","2019-06-13","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8986,2369,984,"43187","80203","1617 S. Acoma St.",0,"225","2019-06-10 00:00:00","2019-06-14 00:00:00","sports,offersBeforeAfterCare","2019-06-14","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8987,237,991,"43551","80222","4400 E. Iliff Ave.",0,"540","2019-06-10 00:00:00","2019-07-12 00:00:00","academic","2019-07-09","11:15 AM","12:45 PM",1.5,39.7342032,-104.8846904,NA
8988,2370,984,"43188","80203","1617 S. Acoma St.",0,"225","2019-06-17 00:00:00","2019-06-21 00:00:00","sports,offersBeforeAfterCare","2019-06-17","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8989,2371,984,"43188","80203","1617 S. Acoma St.",0,"225","2019-06-17 00:00:00","2019-06-21 00:00:00","sports,offersBeforeAfterCare","2019-06-18","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8990,2372,984,"43188","80203","1617 S. Acoma St.",0,"225","2019-06-17 00:00:00","2019-06-21 00:00:00","sports,offersBeforeAfterCare","2019-06-19","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8991,2373,984,"43188","80203","1617 S. Acoma St.",0,"225","2019-06-17 00:00:00","2019-06-21 00:00:00","sports,offersBeforeAfterCare","2019-06-20","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8992,2374,984,"43188","80203","1617 S. Acoma St.",0,"225","2019-06-17 00:00:00","2019-06-21 00:00:00","sports,offersBeforeAfterCare","2019-06-21","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8993,2375,984,"43189","80203","1617 S. Acoma St.",0,"225","2019-06-24 00:00:00","2019-06-28 00:00:00","offersBeforeAfterCare,sports","2019-06-24","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8994,2376,984,"43189","80203","1617 S. Acoma St.",0,"225","2019-06-24 00:00:00","2019-06-28 00:00:00","offersBeforeAfterCare,sports","2019-06-25","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8995,2377,984,"43189","80203","1617 S. Acoma St.",0,"225","2019-06-24 00:00:00","2019-06-28 00:00:00","offersBeforeAfterCare,sports","2019-06-26","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8996,2378,984,"43189","80203","1617 S. Acoma St.",0,"225","2019-06-24 00:00:00","2019-06-28 00:00:00","offersBeforeAfterCare,sports","2019-06-27","8:00 AM","6:00 PM",10,39.6928518,-104.8140443,NA
8997,2379,984,"43189","80203","1617 S. Acoma St.",0,"225","2019-06-24 00:00:00","2019-06-28 00:00:00","offersBeforeAfterCare,sports","2019-06-28","8:00 AM","6:00 PM",10,39.5677534,-104.8369605,NA
