"X","camp_address_1","camp_zip","session_date_start","session_date_end","total.duration","lat","long","session_id","session_size","session_cost","session_categories","NBHD_Name"
127,"350 South Dahlia Street","80246","6/24/2019","6/28/2019",35,39.7170127,-104.9362357,"38192"," ",405,"arts,music,offersBeforeAfterCare,sports,scholarshipsAvailable","Hilltop"
128,"350 South Dahlia Street","80246","7/8/2019","7/12/2019",35,39.7170127,-104.9362357,"38193"," ",405,"music,sports,scholarshipsAvailable,offersBeforeAfterCare,arts","Hilltop"
129,"350 South Dahlia Street","80246","7/15/2019","7/19/2019",35,39.7170127,-104.9362357,"38194"," ",405,"arts,music,offersBeforeAfterCare,sports,scholarshipsAvailable","Hilltop"
130,"350 South Dahlia Street","80246","7/22/2019","7/26/2019",35,39.7170127,-104.9362357,"38195"," ",405,"scholarshipsAvailable,arts,music,offersBeforeAfterCare,sports","Hilltop"
131,"350 South Dahlia Street","80246","7/29/2019","8/2/2019",35,39.7170127,-104.9362357,"38196"," ",405,"arts,music,scholarshipsAvailable,offersBeforeAfterCare,sports","Hilltop"
132,"350 South Dahlia Street","80246","6/3/2019","6/7/2019",35,39.7100813,-104.930599,"38197"," ",435,"sports,arts,music,offersBeforeAfterCare,scholarshipsAvailable","Washington Virginia Vale"
133,"350 South Dahlia Street","80246","7/8/2019","7/12/2019",35,39.7170127,-104.9362357,"38198"," ",435,"sports,offersBeforeAfterCare,scholarshipsAvailable","Hilltop"
134,"350 South Dahlia Street","80246","6/10/2019","6/14/2019",35,39.7170127,-104.9362357,"38199"," ",435,"offersBeforeAfterCare,sports,scholarshipsAvailable","Hilltop"
135,"350 South Dahlia Street","80246","7/1/2019","7/5/2019",28,39.7170127,-104.9362357,"38200"," ",348,"sports,offersBeforeAfterCare,scholarshipsAvailable","Hilltop"
136,"350 South Dahlia Street","80246","6/17/2019","6/21/2019",35,39.7170127,-104.9362357,"38201"," ",435,"sports,scholarshipsAvailable,offersBeforeAfterCare","Hilltop"
137,"350 South Dahlia Street","80246","7/15/2019","7/19/2019",35,39.7170127,-104.9362357,"38202"," ",435,"offersBeforeAfterCare,scholarshipsAvailable,sports","Hilltop"
138,"350 South Dahlia Street","80246","6/24/2019","6/28/2019",35,39.7170127,-104.9362357,"38203"," ",435,"offersBeforeAfterCare,scholarshipsAvailable,sports","Hilltop"
139,"350 South Dahlia Street","80246","7/29/2019","8/2/2019",35,39.7170127,-104.9362357,"38204"," ",435,"offersBeforeAfterCare,sports,scholarshipsAvailable","Hilltop"
140,"350 South Dahlia Street","80246","6/3/2019","6/7/2019",35,39.7100813,-104.930599,"38205"," ",435,"offersBeforeAfterCare,scholarshipsAvailable,arts","Washington Virginia Vale"
141,"350 South Dahlia Street","80246","6/3/2019","6/7/2019",35,39.7100813,-104.930599,"38206"," ",435,"arts,scholarshipsAvailable,offersBeforeAfterCare","Washington Virginia Vale"
142,"350 South Dahlia Street","80246","6/10/2019","6/14/2019",35,39.7170127,-104.9362357,"38207"," ",435,"scholarshipsAvailable,arts,offersBeforeAfterCare","Hilltop"
143,"350 South Dahlia Street","80246","6/10/2019","6/14/2019",35,39.7170127,-104.9362357,"38208"," ",435,"offersBeforeAfterCare,scholarshipsAvailable,arts","Hilltop"
144,"350 South Dahlia Street","80246","6/17/2019","6/21/2019",35,39.7170127,-104.9362357,"38209"," ",435,"scholarshipsAvailable,arts,offersBeforeAfterCare","Hilltop"
145,"350 South Dahlia Street","80246","6/17/2019","6/21/2019",35,39.7170127,-104.9362357,"38210"," ",435,"arts,offersBeforeAfterCare,scholarshipsAvailable","Hilltop"
146,"350 South Dahlia Street","80246","6/24/2019","6/28/2019",35,39.7170127,-104.9362357,"38211"," ",435,"offersBeforeAfterCare,scholarshipsAvailable,arts","Hilltop"
147,"350 South Dahlia Street","80246","6/24/2019","6/28/2019",35,39.7170127,-104.9362357,"38212"," ",435,"scholarshipsAvailable,offersBeforeAfterCare,arts","Hilltop"
148,"350 South Dahlia Street","80246","7/1/2019","7/5/2019",28,39.7170127,-104.9362357,"38213"," ",348,"scholarshipsAvailable,arts,offersBeforeAfterCare","Hilltop"
149,"350 South Dahlia Street","80246","7/1/2019","7/5/2019",28,39.7170127,-104.9362357,"38214"," ",348,"scholarshipsAvailable,arts,offersBeforeAfterCare","Hilltop"
150,"350 South Dahlia Street","80246","7/8/2019","7/12/2019",35,39.7170127,-104.9362357,"38215"," ",435,"offersBeforeAfterCare,arts,scholarshipsAvailable","Hilltop"
151,"350 South Dahlia Street","80246","7/8/2019","7/12/2019",35,39.7170127,-104.9362357,"38216"," ",435,"offersBeforeAfterCare,scholarshipsAvailable,arts","Hilltop"
152,"350 South Dahlia Street","80246","7/15/2019","7/19/2019",35,39.7170127,-104.9362357,"38217"," ",435,"offersBeforeAfterCare,arts,scholarshipsAvailable","Hilltop"
153,"350 South Dahlia Street","80246","7/15/2019","7/19/2019",35,39.7170127,-104.9362357,"38218"," ",435,"scholarshipsAvailable,offersBeforeAfterCare,arts","Hilltop"
154,"350 South Dahlia Street","80246","7/22/2019","7/26/2019",35,39.7170127,-104.9362357,"38219"," ",435,"offersBeforeAfterCare,arts,scholarshipsAvailable","Hilltop"
155,"350 South Dahlia Street","80246","7/22/2019","7/26/2019",35,39.7170127,-104.9362357,"38220"," ",435,"scholarshipsAvailable,offersBeforeAfterCare,arts","Hilltop"
156,"350 South Dahlia Street","80246","7/29/2019","8/2/2019",35,39.7170127,-104.9362357,"38221"," ",435,"offersBeforeAfterCare,arts,scholarshipsAvailable","Hilltop"
157,"350 South Dahlia Street","80246","7/29/2019","8/2/2019",35,39.7170127,-104.9362357,"38222"," ",435,"arts,offersBeforeAfterCare,scholarshipsAvailable","Hilltop"
158,"350 South Dahlia Street","80246","6/3/2019","6/7/2019",35,39.7100813,-104.930599,"38223"," ",435,"offersBeforeAfterCare,stem,academic,scholarshipsAvailable","Washington Virginia Vale"
159,"350 South Dahlia Street","80246","6/3/2019","6/7/2019",35,39.7100813,-104.930599,"38224"," ",435,"scholarshipsAvailable,stem,offersBeforeAfterCare,academic","Washington Virginia Vale"
160,"350 South Dahlia Street","80246","6/10/2019","6/10/2019",7,39.7170127,-104.9362357,"38225"," ",435,"stem,offersBeforeAfterCare,academic,scholarshipsAvailable","Hilltop"
161,"350 South Dahlia Street","80246","6/10/2019","6/10/2019",7,39.7170127,-104.9362357,"38226"," ",435,"scholarshipsAvailable,academic,stem,offersBeforeAfterCare","Hilltop"
162,"350 South Dahlia Street","80246","6/17/2019","6/21/2019",35,39.7170127,-104.9362357,"38227"," ",435,"academic,stem,offersBeforeAfterCare,scholarshipsAvailable","Hilltop"
163,"350 South Dahlia Street","80246","6/17/2019","6/21/2019",35,39.7170127,-104.9362357,"38228"," ",435,"academic,scholarshipsAvailable,offersBeforeAfterCare,stem","Hilltop"
164,"350 South Dahlia Street","80246","6/24/2019","6/28/2019",35,39.7170127,-104.9362357,"38229"," ",435,"academic,offersBeforeAfterCare,stem,scholarshipsAvailable","Hilltop"
165,"350 South Dahlia Street","80246","7/1/2019","7/5/2019",28,39.7170127,-104.9362357,"38230"," ",348,"offersBeforeAfterCare,academic,scholarshipsAvailable,stem","Hilltop"
166,"350 South Dahlia Street","80246","7/1/2019","7/5/2019",28,39.7170127,-104.9362357,"38231"," ",348,"academic,stem,scholarshipsAvailable,offersBeforeAfterCare","Hilltop"
