"","Row.names","camp_id","session_id","camp_zip","camp_address_1","session_size","session_cost","session_date_start","session_date_end","session_categories","calendar_date","start.time.hours","end.time.hours","duration","session_max_age","session_min_age","lat","lon","lat_lon"
"9965","3260",658,"40218","80303","1466 N. 64rd Street",12,"359","2019-06-17 00:00:00","2019-06-21 00:00:00","scholarshipsAvailable,nature,academic,specialNeedsStudent",2019-06-19,"8:30 AM","2:30 PM",6,8,6,39.7104956,-104.815093,"39.7104956 -104.815093"
"9966","3261",658,"40218","80303","1466 N. 64rd Street",12,"359","2019-06-17 00:00:00","2019-06-21 00:00:00","scholarshipsAvailable,nature,academic,specialNeedsStudent",2019-06-20,"8:30 AM","2:30 PM",6,8,6,39.7104956,-104.815093,"39.7104956 -104.815093"
"9967","3262",658,"40218","80303","1466 N. 64rd Street",12,"359","2019-06-17 00:00:00","2019-06-21 00:00:00","scholarshipsAvailable,nature,academic,specialNeedsStudent",2019-06-21,"8:30 AM","2:30 PM",6,8,6,39.7104956,-104.815093,"39.7104956 -104.815093"
"9968","3263",658,"40219","80303","1466 N. 64rd Street",12,"359","2019-07-15 00:00:00","2019-07-19 00:00:00","academic,scholarshipsAvailable,nature,specialNeedsStudent",2019-07-15,"8:30 AM","2:30 PM",6,8,6,39.7104956,-104.815093,"39.7104956 -104.815093"
"9969","3264",658,"40219","80303","1466 N. 64rd Street",12,"359","2019-07-15 00:00:00","2019-07-19 00:00:00","academic,scholarshipsAvailable,nature,specialNeedsStudent",2019-07-16,"8:30 AM","2:30 PM",6,8,6,39.740052,-105.0295596,"39.740052 -105.0295596"
"9970","3265",658,"40219","80303","1466 N. 64rd Street",12,"359","2019-07-15 00:00:00","2019-07-19 00:00:00","academic,scholarshipsAvailable,nature,specialNeedsStudent",2019-07-17,"8:30 AM","2:30 PM",6,8,6,39.740052,-105.0295596,"39.740052 -105.0295596"
"9971","3266",658,"40219","80303","1466 N. 64rd Street",12,"359","2019-07-15 00:00:00","2019-07-19 00:00:00","academic,scholarshipsAvailable,nature,specialNeedsStudent",2019-07-18,"8:30 AM","2:30 PM",6,8,6,39.740052,-105.0295596,"39.740052 -105.0295596"
"9972","3267",658,"40219","80303","1466 N. 64rd Street",12,"359","2019-07-15 00:00:00","2019-07-19 00:00:00","academic,scholarshipsAvailable,nature,specialNeedsStudent",2019-07-19,"8:30 AM","2:30 PM",6,8,6,39.740052,-105.0295596,"39.740052 -105.0295596"
"9973","3268",658,"40220","80303","1466 N. 64rd Street",12,"359","2019-07-29 00:00:00","2019-08-02 00:00:00","academic,specialNeedsStudent,nature,scholarshipsAvailable",2019-07-29,"8:30 AM","2:30 PM",6,8,6,39.740052,-105.0295596,"39.740052 -105.0295596"
"9974","3269",658,"40220","80303","1466 N. 64rd Street",12,"359","2019-07-29 00:00:00","2019-08-02 00:00:00","academic,specialNeedsStudent,nature,scholarshipsAvailable",2019-07-30,"8:30 AM","2:30 PM",6,8,6,39.740052,-105.0295596,"39.740052 -105.0295596"
"9975","327",993,"43577","80128","8355 S. Wadsworth Blvd",0,"320","2019-07-29 00:00:00","2019-08-02 00:00:00","academic,arts,sports,dance,offersBeforeAfterCare,drama,nature,cooking,stem",2019-07-31,"6:00 AM","6:00 PM",12,12,5,39.7299327,-104.877958,"39.7299327 -104.877958"
"9976","3270",658,"40220","80303","1466 N. 64rd Street",12,"359","2019-07-29 00:00:00","2019-08-02 00:00:00","academic,specialNeedsStudent,nature,scholarshipsAvailable",2019-07-31,"8:30 AM","2:30 PM",6,8,6,39.740052,-105.0295596,"39.740052 -105.0295596"
"9977","3271",658,"40220","80303","1466 N. 64rd Street",12,"359","2019-07-29 00:00:00","2019-08-02 00:00:00","academic,specialNeedsStudent,nature,scholarshipsAvailable",2019-08-01,"8:30 AM","2:30 PM",6,8,6,39.740052,-105.0295596,"39.740052 -105.0295596"
"9978","3272",658,"40220","80303","1466 N. 64rd Street",12,"359","2019-07-29 00:00:00","2019-08-02 00:00:00","academic,specialNeedsStudent,nature,scholarshipsAvailable",2019-08-02,"8:30 AM","2:30 PM",6,8,6,39.740052,-105.0295596,"39.740052 -105.0295596"
"9979","3273",658,"40221","80303","1466 N. 64rd Street",12,"359","2019-06-17 00:00:00","2019-06-21 00:00:00","nature,specialNeedsStudent,academic,scholarshipsAvailable",2019-06-17,"8:30 AM","2:30 PM",6,8,6,39.740052,-105.0295596,"39.740052 -105.0295596"
"9980","3274",658,"40221","80303","1466 N. 64rd Street",12,"359","2019-06-17 00:00:00","2019-06-21 00:00:00","nature,specialNeedsStudent,academic,scholarshipsAvailable",2019-06-18,"8:30 AM","2:30 PM",6,8,6,39.740052,-105.0295596,"39.740052 -105.0295596"
"9981","3275",658,"40221","80303","1466 N. 64rd Street",12,"359","2019-06-17 00:00:00","2019-06-21 00:00:00","nature,specialNeedsStudent,academic,scholarshipsAvailable",2019-06-19,"8:30 AM","2:30 PM",6,8,6,39.740052,-105.0295596,"39.740052 -105.0295596"
"9982","3276",658,"40221","80303","1466 N. 64rd Street",12,"359","2019-06-17 00:00:00","2019-06-21 00:00:00","nature,specialNeedsStudent,academic,scholarshipsAvailable",2019-06-20,"8:30 AM","2:30 PM",6,8,6,39.740052,-105.0295596,"39.740052 -105.0295596"
"9983","3277",658,"40221","80303","1466 N. 64rd Street",12,"359","2019-06-17 00:00:00","2019-06-21 00:00:00","nature,specialNeedsStudent,academic,scholarshipsAvailable",2019-06-21,"8:30 AM","2:30 PM",6,8,6,39.740052,-105.0295596,"39.740052 -105.0295596"
"9984","3278",658,"40222","80303","1466 N. 64rd Street",12,"359","2019-06-24 00:00:00","2019-06-28 00:00:00","specialNeedsStudent,academic,nature,scholarshipsAvailable",2019-06-24,"8:30 AM","2:30 PM",6,8,6,39.740052,-105.0295596,"39.740052 -105.0295596"
"9985","3279",658,"40222","80303","1466 N. 64rd Street",12,"359","2019-06-24 00:00:00","2019-06-28 00:00:00","specialNeedsStudent,academic,nature,scholarshipsAvailable",2019-06-25,"8:30 AM","2:30 PM",6,8,6,39.740052,-105.0295596,"39.740052 -105.0295596"
