"","Id","Id2","Geography","Estimate..Total.","Margin.of.Error..Total.","Estimate..Total....White.alone","Margin.of.Error..Total....White.alone","Estimate..Total....Black.or.African.American.alone","Margin.of.Error..Total....Black.or.African.American.alone","Estimate..Total....American.Indian.and.Alaska.Native.alone","Margin.of.Error..Total....American.Indian.and.Alaska.Native.alone","Estimate..Total....Asian.alone","Margin.of.Error..Total....Asian.alone","Estimate..Total....Native.Hawaiian.and.Other.Pacific.Islander.alone","Margin.of.Error..Total....Native.Hawaiian.and.Other.Pacific.Islander.alone","Estimate..Total....Some.other.race.alone","Margin.of.Error..Total....Some.other.race.alone","Estimate..Total....Two.or.more.races.","Margin.of.Error..Total....Two.or.more.races.","Estimate..Total....Two.or.more.races....Two.races.including.Some.other.race","Margin.of.Error..Total....Two.or.more.races....Two.races.including.Some.other.race","Estimate..Total....Two.or.more.races....Two.races.excluding.Some.other.race..and.three.or.more.races","Margin.of.Error..Total....Two.or.more.races....Two.races.excluding.Some.other.race..and.three.or.more.races"
"43","1500000US080310005025",80310005025,"Block Group 5, Census Tract 5.02, Denver County, Colorado",869,267,670,187,0,11,0,11,14,23,0,11,120,152,65,77,0,11,65,77
"44","1500000US080310006001",80310006001,"Block Group 1, Census Tract 6, Denver County, Colorado",1268,199,1043,194,119,106,0,11,15,18,0,11,62,92,29,34,8,12,21,32
"45","1500000US080310006002",80310006002,"Block Group 2, Census Tract 6, Denver County, Colorado",1705,378,1276,336,11,16,19,30,51,49,0,11,326,312,22,27,7,13,15,23
"46","1500000US080310007011",80310007011,"Block Group 1, Census Tract 7.01, Denver County, Colorado",1387,266,1185,247,59,66,20,21,23,27,0,11,94,56,6,11,0,11,6,11
"47","1500000US080310007012",80310007012,"Block Group 2, Census Tract 7.01, Denver County, Colorado",1157,332,747,240,50,55,106,158,0,11,0,11,176,198,78,67,0,11,78,67
"48","1500000US080310007013",80310007013,"Block Group 3, Census Tract 7.01, Denver County, Colorado",1362,314,1040,292,75,50,47,54,29,46,0,11,130,135,41,51,0,11,41,51
"49","1500000US080310007021",80310007021,"Block Group 1, Census Tract 7.02, Denver County, Colorado",970,343,762,318,128,161,9,14,9,18,0,11,0,11,62,104,62,104,0,11
"50","1500000US080310007022",80310007022,"Block Group 2, Census Tract 7.02, Denver County, Colorado",1640,428,1282,383,42,38,103,130,61,54,0,11,111,103,41,42,9,14,32,40
"51","1500000US080310007023",80310007023,"Block Group 3, Census Tract 7.02, Denver County, Colorado",1302,421,762,344,449,331,18,28,52,63,0,11,21,25,0,11,0,11,0,11
"52","1500000US080310007024",80310007024,"Block Group 4, Census Tract 7.02, Denver County, Colorado",633,212,527,213,0,11,22,23,0,11,0,11,62,64,22,35,0,11,22,35
"53","1500000US080310007025",80310007025,"Block Group 5, Census Tract 7.02, Denver County, Colorado",628,207,545,187,0,11,0,11,24,28,15,23,0,11,44,48,0,11,44,48
"54","1500000US080310008001",80310008001,"Block Group 1, Census Tract 8, Denver County, Colorado",1448,240,750,232,484,243,6,11,75,56,0,11,133,131,0,11,0,11,0,11
"55","1500000US080310009021",80310009021,"Block Group 1, Census Tract 9.02, Denver County, Colorado",592,259,401,184,0,11,132,200,40,52,0,11,0,11,19,17,0,11,19,17
"56","1500000US080310009022",80310009022,"Block Group 2, Census Tract 9.02, Denver County, Colorado",972,429,847,406,58,90,8,14,23,36,0,11,0,11,36,47,29,46,7,10
"57","1500000US080310009023",80310009023,"Block Group 3, Census Tract 9.02, Denver County, Colorado",1069,339,920,359,0,11,7,12,92,89,0,11,29,35,21,33,0,11,21,33
"58","1500000US080310009024",80310009024,"Block Group 4, Census Tract 9.02, Denver County, Colorado",1822,410,1487,436,59,110,9,15,25,30,0,11,223,158,19,30,0,11,19,30
"59","1500000US080310009025",80310009025,"Block Group 5, Census Tract 9.02, Denver County, Colorado",1638,385,1452,366,51,79,45,54,46,56,0,11,44,51,0,11,0,11,0,11
"60","1500000US080310009031",80310009031,"Block Group 1, Census Tract 9.03, Denver County, Colorado",1404,373,1315,385,0,11,21,31,0,11,0,11,59,52,9,14,0,11,9,14
"61","1500000US080310009032",80310009032,"Block Group 2, Census Tract 9.03, Denver County, Colorado",1115,359,1073,367,0,11,0,11,0,11,0,11,42,51,0,11,0,11,0,11
"62","1500000US080310009033",80310009033,"Block Group 3, Census Tract 9.03, Denver County, Colorado",1295,468,1157,447,67,73,15,23,0,11,0,11,46,72,10,16,10,16,0,11
"63","1500000US080310009034",80310009034,"Block Group 4, Census Tract 9.03, Denver County, Colorado",1906,470,1715,457,3,6,18,40,0,11,0,11,137,145,33,43,0,11,33,43
"64","1500000US080310009035",80310009035,"Block Group 5, Census Tract 9.03, Denver County, Colorado",739,254,624,248,0,11,19,30,0,11,0,11,56,64,40,62,40,62,0,11
"65","1500000US080310009041",80310009041,"Block Group 1, Census Tract 9.04, Denver County, Colorado",1090,328,931,302,10,17,12,22,0,11,0,11,122,158,15,22,15,22,0,11
"66","1500000US080310009042",80310009042,"Block Group 2, Census Tract 9.04, Denver County, Colorado",1560,283,1063,252,79,63,40,36,32,44,0,11,241,138,105,94,34,32,71,89
"67","1500000US080310009043",80310009043,"Block Group 3, Census Tract 9.04, Denver County, Colorado",715,328,451,235,0,11,0,11,0,11,0,11,264,243,0,11,0,11,0,11
"68","1500000US080310009044",80310009044,"Block Group 4, Census Tract 9.04, Denver County, Colorado",1746,431,1338,407,106,156,64,67,37,60,0,11,173,141,28,26,28,26,0,11
"69","1500000US080310009051",80310009051,"Block Group 1, Census Tract 9.05, Denver County, Colorado",862,278,655,257,73,104,0,11,0,11,0,11,134,147,0,11,0,11,0,11
"70","1500000US080310009052",80310009052,"Block Group 2, Census Tract 9.05, Denver County, Colorado",1274,493,951,423,20,31,0,11,0,11,0,11,303,279,0,11,0,11,0,11
"71","1500000US080310009053",80310009053,"Block Group 3, Census Tract 9.05, Denver County, Colorado",793,275,774,282,19,30,0,11,0,11,0,11,0,11,0,11,0,11,0,11
"72","1500000US080310009054",80310009054,"Block Group 4, Census Tract 9.05, Denver County, Colorado",1274,397,1109,416,8,16,0,11,0,11,0,11,133,110,24,38,0,11,24,38
"73","1500000US080310010001",80310010001,"Block Group 1, Census Tract 10, Denver County, Colorado",1386,521,1086,516,119,165,14,26,71,83,0,11,96,96,0,11,0,11,0,11
"74","1500000US080310010002",80310010002,"Block Group 2, Census Tract 10, Denver County, Colorado",788,318,738,306,0,11,0,11,31,110,0,11,13,22,6,9,6,9,0,11
"75","1500000US080310010003",80310010003,"Block Group 3, Census Tract 10, Denver County, Colorado",1873,552,1696,568,23,26,0,11,141,211,0,11,0,11,13,19,0,11,13,19
"76","1500000US080310011011",80310011011,"Block Group 1, Census Tract 11.01, Denver County, Colorado",372,118,293,111,0,11,7,9,0,11,0,11,72,60,0,11,0,11,0,11
"77","1500000US080310011012",80310011012,"Block Group 2, Census Tract 11.01, Denver County, Colorado",675,201,517,219,122,98,0,11,0,11,0,11,5,8,31,31,0,11,31,31
"78","1500000US080310011013",80310011013,"Block Group 3, Census Tract 11.01, Denver County, Colorado",883,249,598,227,0,11,21,32,0,11,0,11,243,108,21,27,17,27,4,7
"79","1500000US080310011014",80310011014,"Block Group 4, Census Tract 11.01, Denver County, Colorado",734,177,484,150,44,50,109,124,0,11,0,11,68,46,29,26,29,26,0,11
"80","1500000US080310011021",80310011021,"Block Group 1, Census Tract 11.02, Denver County, Colorado",1021,312,874,282,87,69,0,11,0,11,0,11,60,67,0,11,0,11,0,11
"81","1500000US080310011022",80310011022,"Block Group 2, Census Tract 11.02, Denver County, Colorado",710,243,532,180,8,12,0,11,0,11,0,11,148,220,22,44,0,11,22,44
"82","1500000US080310011023",80310011023,"Block Group 3, Census Tract 11.02, Denver County, Colorado",1976,280,1739,261,11,25,23,27,73,48,0,11,23,28,107,71,23,26,84,59
"83","1500000US080310013011",80310013011,"Block Group 1, Census Tract 13.01, Denver County, Colorado",1252,403,1002,388,0,11,0,11,140,180,0,11,110,121,0,11,0,11,0,11
"84","1500000US080310013012",80310013012,"Block Group 2, Census Tract 13.01, Denver County, Colorado",1009,405,837,393,1,2,0,11,90,91,0,11,80,119,1,2,0,11,1,2
"85","1500000US080310013013",80310013013,"Block Group 3, Census Tract 13.01, Denver County, Colorado",1327,370,1156,358,49,76,7,11,14,23,0,11,86,77,15,24,0,11,15,24
"86","1500000US080310013014",80310013014,"Block Group 4, Census Tract 13.01, Denver County, Colorado",740,269,598,242,0,11,14,21,24,24,0,11,33,51,71,72,0,11,71,72
"87","1500000US080310013015",80310013015,"Block Group 5, Census Tract 13.01, Denver County, Colorado",787,295,652,253,1,3,0,11,121,142,11,19,2,3,0,11,0,11,0,11
"88","1500000US080310013021",80310013021,"Block Group 1, Census Tract 13.02, Denver County, Colorado",1754,385,1506,388,9,14,29,44,38,61,0,11,67,61,105,88,66,94,39,38
