"","nbhd_name","AI_has_nature_anycost","AI_has_nature_lowcost","AI_has_nature_free","AI_has_sports_anycost","AI_has_sports_lowcost","AI_has_sports_free","AI_art_anycost","AI_art_lowcost","AI_art_free","AI_academic_anycost","AI_academic_lowcost","AI_academic_free","AI_overall","AI_overall_free"
"34","Harvey Park",53.719508912681,58.8036588020885,45.493171580202,43.5130236503581,65.2409428685248,84.9641112688801,61.1526547001414,63.859015833388,59.2574327947152,59.4967245539273,62.3244749927428,59.6112291532244,54.4704779542769,62.3314861992554
"35","Harvey Park South",53.416026257415,58.389149496112,42.4632955051354,43.0210586395796,65.6057113429197,77.6530786558554,57.9728429776899,60.3496230953,51.9252705085269,55.7105122109992,57.6657389048411,52.5685604998218,52.530110021421,56.1525512923349
"36","Highland",73.3440469292184,78.7250470712622,55.0032833911142,62.4428111698736,87.4607849391838,60.405405659551,82.7701326411597,80.5596811622766,70.4544688029309,83.1470153124956,81.5495217025409,72.7238411928048,75.4260015131868,64.6467497616002
"37","Hilltop",78.2467813930396,65.3201480178222,35.9473044150704,73.2870195893568,74.2221569733117,38.0469592576274,69.4620177986683,61.0009418181798,45.3145889333656,66.4359317025992,60.221123198663,46.7382927106417,71.857937620916,41.5117863291763
"38","Indian Creek",70.1795583186316,64.962988778794,34.7043025184852,64.0616406372419,77.1768581622013,41.2438852841668,64.3034743566531,61.246219380186,44.5899596023429,61.3793712280255,59.2045597193987,45.9198857013723,64.981011135138,41.6145082765918
"39","Jefferson Park",80.0574896181184,84.5375472067697,63.3266677096411,67.4758971939432,91.4548983182799,67.4935119605303,92.9965793780272,89.2045873636686,80.722774121167,92.9029940859256,90.3491132413249,82.6546042666996,83.3582400690036,73.5493895145096
"40","Kennedy",64.3644494529885,66.5544445502728,33.862762591965,57.9596409069961,81.8960169100312,43.7091060529718,63.7463707303707,64.9128988708011,45.6197205492631,60.0348227445685,60.0111136676289,47.0170649397079,61.5263209587309,42.5521635334769
"41","Lincoln Park",77.2363516870216,80.4440856987261,61.4687725361142,65.1129449240401,84.3938474606516,59.7239033499092,88.7383344042673,85.4399697929779,77.6924075872514,87.3813563416336,84.9071528814152,78.1221736899123,79.6172468392407,69.2518142907968
"42","Lowry Field",78.9061502926507,65.6511144963597,32.479607201659,75.287841632096,74.7665701299896,36.6536932993857,66.202686744293,59.8279755048421,40.8116908288459,62.6472218276846,58.3069764934437,42.3187935309376,70.7609751241811,38.065946215207
"43","Mar Lee",59.5446997580444,65.6542739492369,54.375216644425,46.8846070383948,68.6517724776597,84.2981762451415,69.2195753668005,72.6136893750253,71.2943079605295,68.1967629716816,72.2007920050729,71.1537107429638,60.9614112837303,70.2803528982649
"44","Marston",42.1256399512155,43.5976586609885,25.3131957325718,33.6178756424634,49.8735207915657,38.1634530257812,42.4536154858741,41.8389766179051,30.4572143915842,40.0535699475367,38.8681980734999,31.0589698414701,39.5626752567725,31.2482082478518
"45","Montbello",53.8840444420317,58.7107819045603,35.2153050606843,46.2676424002632,64.4427827570858,39.0726235773627,53.14982522987,54.3963522680175,41.5439395703423,52.1081299365283,53.5810903150843,44.2727714655653,51.3524105021733,40.0261599184887
"46","Montclair",73.8458987317943,66.1731306960808,37.8653481158983,72.6659703485321,74.7141357240342,39.3870823467906,68.1867439391415,62.3736459057069,47.6742999637253,65.6210990360822,62.1951710637835,49.0561617989226,70.0799280138875,43.4957230563342
"47","North Capitol Hill",68.9628642940619,71.4661180001632,50.9572292770614,60.5247810826623,76.9842027726476,49.18004386744,76.2923381433965,72.9891032379393,63.8754393726839,75.0570438638769,73.6527486804055,65.3360794416913,70.2092568459994,57.3371979897191
"48","North Park Hill",70.0042788898024,71.0817205514124,44.4960425037998,66.8307362346126,79.5944363515183,45.9290747311793,69.6481751353671,68.3129474332373,55.6108274027761,67.9393236360243,68.9893724183399,57.6941397375728,68.6056284739516,50.932521093832
"49","Northeast Park Hill",69.5871452334014,72.532506398707,46.1069123598646,64.8556380345209,80.9320564478397,48.0059005224835,70.3790337921421,69.7111353635397,56.8330640176995,68.9852837225562,70.0552409261431,59.2025449788286,68.4517751956552,52.537105469719
"50","Overland",64.2024227839195,65.6711015606853,45.793407499481,55.5681417242832,75.1679266357077,66.0735262866459,72.0152354618422,70.9476841567636,60.7210600456997,68.5807778870528,67.495267421767,61.3101551730387,65.0916444642745,58.4745372512163
"51","Platt Park",80.8072718473734,81.6027464721544,55.9085576461187,71.1450132023399,90.6368018417585,65.1897310923029,86.5942471360879,84.0552267184987,71.674426972657,82.9627819150486,80.8797355120674,72.1398171590399,80.3773285252125,66.2281332175296
"52","Regis",63.9477458572065,67.9057919127735,42.6197477217655,57.4383802442951,82.8459120465404,44.6700578485847,67.3469166023707,66.4391402875318,54.6981044855924,69.8550932404028,66.8878820190713,57.1067491754925,64.6470339860688,49.7736648078588
"53","Rosedale",69.3147527098886,70.6056147191655,47.5839794960027,61.3742048697146,80.48199091107,61.179578574754,75.1701535826337,73.4217647291971,61.8171732024629,71.8204030087302,70.0366015377246,62.2447326189011,69.4198785427417,58.2063659730301
"54","Ruby Hill",67.0793046073331,71.0424845808199,56.7903226739445,55.3638478174206,76.1983508023376,81.3301007081353,79.6217551082402,81.7977145661832,79.7183445340523,78.0935742417398,81.2554047840141,80.318919915337,70.0396204436834,74.5394219578673
"55","Skyland",65.5678306718118,66.7937445782774,44.0761047434036,61.3603644274325,76.308108866137,42.3777680848153,66.7061437802191,64.6723254152184,53.5501694103343,65.9473920205997,65.7485635216686,56.5631158833858,64.8954327250158,49.1417895304848
"56","Sloan Lake",67.454282335982,71.9610119119888,54.0312716362152,57.888980787242,80.1109362874837,57.496277559678,77.2944796817308,75.7505671725,68.9733035812364,77.8237799218955,76.5565574681056,70.3738530644175,70.1153806817126,62.7186764603867
"57","South Park Hill",69.1889074285796,67.6043413958112,41.6127579764668,67.8616697825457,76.253607193213,40.6424790230298,67.7850002474911,65.2277041652165,53.263651219706,66.5967048919441,66.5803979551107,55.0532821789575,67.8580705876401,47.64304259954
"58","Southmoor Park",62.9527312687623,64.7791672246297,36.6060350623793,56.562375805115,78.1630425689873,43.8159166761719,63.9268150333533,63.4422933048118,46.7398151181036,61.8716053539242,59.0725987105868,47.8543491681552,61.3283818652886,43.7540290062025
"59","Speer",82.4791217726843,78.5570501830088,55.6180347824699,74.5049892496985,83.4133245865937,54.1375637711923,86.2773975456839,79.8651460513689,69.0903348202107,82.6128635150041,78.33612749177,69.049122177174,81.4685930207677,61.9737638877617
"60","Stapleton",64.0238884384503,68.8298774993738,38.4429784892457,58.7853987505083,78.1990562275759,43.5769468871748,63.6513326409142,63.8719153162606,47.3291689024813,61.6767749022674,62.4573236171194,49.5663832443867,62.0343486830351,44.7288693808221
"61","Sun Valley",80.5315999155271,85.4795807856292,67.8522687878723,66.5617708144772,89.0297236074115,68.7254684348461,92.354687365366,90.9826371900542,85.0027859595517,91.6031751923223,91.2090125112687,85.7759466263066,82.7628083219232,76.8391174521442
"62","Sunnyside",68.9126133784661,73.995147503181,49.3209523421099,59.5476632464731,83.7019130372999,53.2557303892687,74.4066751430652,73.4914277697106,62.4725108355968,75.4913653835624,74.2911635247415,64.9789319758709,69.5895792878917,57.5070313857116
"63","Union Station",74.0045599664222,76.457048349823,54.5574404531053,63.5103455038346,84.0994004294554,57.5628157829871,85.0200331073327,79.3750067114911,69.1496014020722,84.4320415809445,79.8906622606337,70.9419032147358,76.7417450396335,63.0529402132251
"64","University",73.9955519677111,72.6735765299674,47.2547378505638,66.8558117702938,83.4779991694302,55.9197395827558,77.4082718224402,73.3904812681992,60.3138981811391,74.3093632626748,70.2900760756374,60.8952023078465,73.14224970578,56.0958944805763
"65","University Hills",74.8942839910869,75.438657613607,46.4146731791931,67.9087781449894,92.2447501755289,53.866549558822,76.4320093908851,74.6203432764663,58.8325482289811,73.7986611678032,70.7000237358751,59.4399678401915,73.2584331736912,54.6384347017969
"66","University Park",78.5930662171357,76.9052949767444,49.0653825169781,70.967665847212,90.0176264919903,55.7157330016047,80.7037444625119,76.3052937135134,62.076351723545,77.8933183089072,73.472766045025,62.8408214044531,77.0394487089417,57.4245721616452
"67","Valverde",76.8457558511227,83.1981424207889,71.6289130599435,60.8694828279539,81.6293422940502,67.1480253092556,86.6064241992937,86.8877781648231,83.6251859074466,85.5638506387302,87.0882788639181,83.95755927621,77.4713783792751,76.5899208882139
"68","Villa Park",75.1547430971192,82.1382875536119,69.1461104560849,59.4126851545187,81.5891026331065,63.4876689540221,83.6089223976873,84.2493676571108,79.558885682884,82.8858850081254,84.1211106372446,79.8131780147537,75.2655589143627,73.0014607769362
"69","Virginia Village",81.4749710786841,75.5140850277403,44.7468849670038,73.2127970196542,86.3546588780654,50.1051456930045,77.1711275026496,71.7066727804764,55.7315975274852,74.876834235479,70.6700167453734,57.8982862970089,76.6839324591167,52.1204786211256
"70","Washington Park",93.5506858399542,78.9852687365997,50.7748570992219,91.2357235347766,87.4862494155394,51.5303386761453,90.4648420577072,77.8464267274814,63.879501795411,85.1096938778498,75.8112890935288,64.5534670435972,90.0902363275719,57.6845411535939
"71","Washington Park West",90.2451352107168,87.4332535916352,61.3041659592223,81.9491417811163,94.6395965376804,63.3629049437408,94.5882510895264,88.8994772509826,76.7746502768864,90.4320521924164,86.5503976413713,76.9503853113784,89.303645068444,69.598026622807
"72","Washington Virginia Vale",80.7742117149163,69.55792323859,36.9835580015683,73.9545451865393,80.5243547570079,42.0185753929569,71.4220475298577,64.4250987328498,46.7082883974429,68.2157374470251,63.0274323797047,48.3627434282595,73.5916354695846,43.5182913050569
"73","Wellshire",67.0270557826244,67.1860745742232,41.3816326494229,61.3908915316007,84.1255088532049,51.0153467881715,68.8888696633278,66.7921688469564,52.3052632894154,66.1680737097795,62.8704760536226,52.8287739237661,65.8687226718331,49.382754162694
"74","West Colfax",73.3164900197919,79.2020133350725,63.953718675115,60.1974043983064,82.5108789367502,63.9808800568444,84.5652434321151,84.1321267676629,79.2080417740655,84.3186749829707,84.3377171484739,79.7220868968609,75.599453208296,71.7161818507215
"75","West Highland",64.0186395632768,69.1197711499566,49.3960137207462,56.000651718728,79.7438378654676,54.566415578703,72.5333746919829,71.3017487767901,63.3041430210525,73.9260805205273,72.3425483254189,65.3304782719252,66.6196866236288,58.1492626481067
"76","Westwood",66.0957476374201,73.5040984032547,63.5376921712243,50.7931085747652,71.9384405277188,70.5652446795562,74.973483446119,77.7580803422969,76.3881475953742,74.3627088319752,78.0581295928957,76.357100101552,66.5562621225699,71.7120461369267
"77","Whittier",64.6140251906762,66.5874247801775,46.2414441010382,59.3427727313772,75.3065560617338,43.9703473643712,67.2703905620127,64.928130983257,54.9425453035845,67.0214931513788,66.6135812383128,58.2538142510701,64.5621704088612,50.852037755016
"78","Windsor",70.2025884745197,60.6150680324498,28.8611629449938,65.2284676801537,71.2218744503957,34.2914324330809,59.5067873964826,55.7846730948889,36.9976246393888,55.6853816621885,53.1062127513516,38.431973211909,62.6558063033361,34.6455483073431
