"","Id","Id2","Geography","TTL_population","Margin.of.Error..Total"
"135","1500000US080310026012",80310026012,"Block Group 2, Census Tract 26.01, Denver County, Colorado",1532,278
"136","1500000US080310026021",80310026021,"Block Group 1, Census Tract 26.02, Denver County, Colorado",2702,203
"137","1500000US080310027011",80310027011,"Block Group 1, Census Tract 27.01, Denver County, Colorado",1030,193
"138","1500000US080310027012",80310027012,"Block Group 2, Census Tract 27.01, Denver County, Colorado",1165,265
"139","1500000US080310027013",80310027013,"Block Group 3, Census Tract 27.01, Denver County, Colorado",1637,220
"140","1500000US080310027014",80310027014,"Block Group 4, Census Tract 27.01, Denver County, Colorado",841,156
"141","1500000US080310027021",80310027021,"Block Group 1, Census Tract 27.02, Denver County, Colorado",1534,248
"142","1500000US080310027022",80310027022,"Block Group 2, Census Tract 27.02, Denver County, Colorado",1617,316
"143","1500000US080310027023",80310027023,"Block Group 3, Census Tract 27.02, Denver County, Colorado",1023,264
"144","1500000US080310027024",80310027024,"Block Group 4, Census Tract 27.02, Denver County, Colorado",673,141
"145","1500000US080310027025",80310027025,"Block Group 5, Census Tract 27.02, Denver County, Colorado",1110,219
"146","1500000US080310027031",80310027031,"Block Group 1, Census Tract 27.03, Denver County, Colorado",1673,301
"147","1500000US080310027032",80310027032,"Block Group 2, Census Tract 27.03, Denver County, Colorado",1257,233
"148","1500000US080310027033",80310027033,"Block Group 3, Census Tract 27.03, Denver County, Colorado",1201,321
"149","1500000US080310027034",80310027034,"Block Group 4, Census Tract 27.03, Denver County, Colorado",1110,242
"150","1500000US080310028011",80310028011,"Block Group 1, Census Tract 28.01, Denver County, Colorado",1028,223
"151","1500000US080310028012",80310028012,"Block Group 2, Census Tract 28.01, Denver County, Colorado",778,156
"152","1500000US080310028013",80310028013,"Block Group 3, Census Tract 28.01, Denver County, Colorado",899,181
"153","1500000US080310028021",80310028021,"Block Group 1, Census Tract 28.02, Denver County, Colorado",1728,345
"154","1500000US080310028022",80310028022,"Block Group 2, Census Tract 28.02, Denver County, Colorado",764,178
"155","1500000US080310028023",80310028023,"Block Group 3, Census Tract 28.02, Denver County, Colorado",1008,252
"156","1500000US080310028024",80310028024,"Block Group 4, Census Tract 28.02, Denver County, Colorado",834,192
"157","1500000US080310028031",80310028031,"Block Group 1, Census Tract 28.03, Denver County, Colorado",712,195
"158","1500000US080310028032",80310028032,"Block Group 2, Census Tract 28.03, Denver County, Colorado",1236,249
"159","1500000US080310028033",80310028033,"Block Group 3, Census Tract 28.03, Denver County, Colorado",1389,337
"160","1500000US080310028034",80310028034,"Block Group 4, Census Tract 28.03, Denver County, Colorado",1321,242
"161","1500000US080310029011",80310029011,"Block Group 1, Census Tract 29.01, Denver County, Colorado",891,158
"162","1500000US080310029012",80310029012,"Block Group 2, Census Tract 29.01, Denver County, Colorado",1187,177
"163","1500000US080310029013",80310029013,"Block Group 3, Census Tract 29.01, Denver County, Colorado",1168,177
"164","1500000US080310029021",80310029021,"Block Group 1, Census Tract 29.02, Denver County, Colorado",1923,297
"165","1500000US080310029022",80310029022,"Block Group 2, Census Tract 29.02, Denver County, Colorado",1290,226
"166","1500000US080310029023",80310029023,"Block Group 3, Census Tract 29.02, Denver County, Colorado",1117,207
"167","1500000US080310030011",80310030011,"Block Group 1, Census Tract 30.01, Denver County, Colorado",984,261
"168","1500000US080310030012",80310030012,"Block Group 2, Census Tract 30.01, Denver County, Colorado",1272,298
"169","1500000US080310030013",80310030013,"Block Group 3, Census Tract 30.01, Denver County, Colorado",958,227
