"sport","location","tier","class","long","lat","sqft"
"Softball","Kennedy Ballfields Complex","A","BF-B",-104.85558402,39.65599461,93933.313586725
"Mixed-use","Sunken Gardens Park","C","MU-TURF",-104.99342849,39.73134688,28771.4983940102
"Softball","Ruby Hill Park","A","BF-A",-105.00229583,39.68552141,63778.8854873965
"Softball","Ruby Hill Park","A","BF-A",-105.00247203,39.6846971,63204.1969418946
"Softball","Rude Park","A","BF-A",-105.02432817,39.73639471,66408.4489436761
"Softball","Vanderbilt Park","A","BF-A",-104.99582211,39.70123213,79958.0765975208
"Softball","Vanderbilt Park","A","BF-A",-104.99532472,39.70054568,74747.5616386
"Baseball","Argo Park","A","BF-A",-104.98241596,39.78431706,58820.7284076102
"Softball","Aspgren Park","C","BF-C",-105.00199945,39.70449787,31383.4766528602
"Softball","Athmar Rec Center","C","BF-C",-105.01985535,39.68485051,31383.8846837897
"Softball","Harvard Gulch West Park","C","BF-C",-105.02466386,39.67151001,8726.73593826494
"Softball","Harvard Gulch West Park","C","BF-C",-105.02433891,39.67150906,8726.71337803027
"Softball","St Charles Pl","C","BF-C",-104.97092069,39.76976436,9522.94274426416
"Softball","Bezoff (Ben) Park","C","BF-C",-104.86984552,39.7051721,31383.4555976429
"Softball","Jefferson & Kendall Park","C","BF-C",-105.06737921,39.6502557,11086.5296480154
"Softball","Bear Valley Park","C","BF-C",-105.0772378,39.66128292,31384.291329392
"Softball","Berkeley Lake Park","C","BF-C",-105.04701157,39.78087197,17602.3597671009
"Baseball","City of Cuernavaca Park","C","BF-C",-104.99961663,39.76254429,31382.3234213385
"Softball","Crestmoor Park","C","BF-C",-104.91699106,39.71426022,31193.6110882543
"Softball","Crestmoor Park","C","BF-C",-104.91698435,39.7136188,31383.3525490479
"Football","Parkfield","A","MU-SYN",-104.80700838,39.79288795,77634.1325242706
"Volleyball","Washington Park","C","MU-TURF",-104.97170494,39.69981266,69233.0031658704
"Soccer","Kennedy Soccer Complex","A","MU-TURF",-104.8740046,39.64817076,86318.7552101211
"Soccer","Kennedy Soccer Complex","A","MU-TURF",-104.87402882,39.64694767,86318.7855357794
"Soccer","Kennedy Soccer Complex","A","MU-TURF",-104.87281923,39.64652119,86318.848292448
"Soccer","Kennedy Soccer Complex","A","MU-TURF",-104.87181952,39.64655388,79125.5084424738
"Softball","Parkfield","A","BF-A",-104.80806114,39.79311199,53808.5416998066
"Baseball","Parkfield","A","BF-A",-104.80818068,39.79399708,90409.0508886036
"Soccer","Parkfield","A","MU-SYN",-104.8084303,39.79212383,116998.244056648
"Soccer","Parkfield","A","MU-SYN",-104.80843922,39.79135983,116511.807668367
"Softball","Sanchez (Paco) Park","C","BF-C",-105.03026127,39.73642497,31382.796175106
"Mixed-use","Mestizo-Curtis Park","C","MU-TURF",-104.97683207,39.76041025,62936.4698722356
"Softball","Veterans Park","A","BF-A",-104.96451274,39.68668021,58437.7216868871
"Softball","Bear Creek Park","C","BF-C",-105.04380593,39.65312788,31384.3901638175
"Softball","Bear Creek Park","C","BF-C",-105.04307113,39.65319543,30242.5180325536
"Mixed-use","Bear Creek Park","B",,-105.04378216,39.65299965,69234.5660793731
"Mixed-use","Bear Valley Park","C",,-105.07733099,39.66131665,53948.8529561112
"Softball","Berkeley Lake Park","C","BF-C",-105.05215544,39.78081065,31381.9833379737
"Mixed-use","Berkeley Lake Park","C",,-105.05238675,39.78115928,19265.985484476
