"location","year_rehab","class","long","lat","sqft"
"Denison Park","2004","PG-NEIGHBORHOOD",-104.90430078,39.73337025,4137.61257149083
"Douglass (Fredrick) Park","2001","PG-NEIGHBORHOOD",-104.96803518,39.75945295,3038.57334552036
"Bayaud Park","2001","PG-NEIGHBORHOOD",-104.90066117,39.71456952,5872.02786051338
"Eastmoor Park","1992","PG-COMMUNITY",-104.90870283,39.64022545,3742.83530604931
"Elyria (Johnson Center) Park","2006","PG-NEIGHBORHOOD",-104.96427742,39.78391174,4398.43109245601
"Harvard Gulch Mini Park","2001","PG-NEIGHBORHOOD",-104.97266165,39.67153524,1546.32817626293
"Argo Park","2010","PG-COMMUNITY",-104.9816914,39.78270283,4657.20135510812
"Pulaski Park","2010","PG-COMMUNITY",-104.94742324,39.71301855,5984.10209096549
"51st & Broadway Park","2016","PG-NEIGHBORHOOD",-104.98710303,39.7886645,2902.95900279867
"New Freedom","2012","PG-NEIGHBORHOOD",-104.88555427,39.73686938,2922.41268452989
"Pferdesteller Park","2010","PG-NEIGHBORHOOD",-105.04937061,39.76324467,5260.14378004444
"West Harvard Gulch","1998","PG-NEIGHBORHOOD",-105.02249683,39.67028975,2964.04429663499
"Berkeley Lake Park","2007","PG-REGIONAL",-105.05019639,39.78103961,6292.30574480736
"Huston Lake Park","2008","PG-COMMUNITY",-105.01802995,39.7011295,4554.51000816932
"Lakewood and Dry Gulch Park","2012","PG-COMMUNITY",-105.04493367,39.73546092,4896.87654142112
"Silverman (Melvin F) Park","2012","PG-NEIGHBORHOOD",-104.84129469,39.78519691,5280.68991805094
"Jefferson Park","2015","PG-NEIGHBORHOOD",-105.0214354,39.75069526,3985.90012683796
"Johnson-Habitat","2015","PG-COMMUNITY",-104.99780415,39.70493397,2145.5049834358
"Barnum East Park","2016","PG-NEIGHBORHOOD",-105.02326909,39.72417643,2506.49128633511
"Lakewood and Dry Gulch Park","2016","PG-COMMUNITY",-105.03835993,39.73347337,4311.75623744166
"Chaffee (Jerome B) Park","2009","PG-NEIGHBORHOOD",-105.01049844,39.77631547,3406.40823765488
"Lawson (Sonny) Park","2014","PG-NEIGHBORHOOD",-104.9821807,39.75192033,2077.96139528875
"Central Park Rec Center","2010","PG-NEIGHBORHOOD",-104.87497229,39.76067555,1166.63364081109
"Barnum Park","2002","PG-COMMUNITY",-105.03068383,39.72346911,7116.93663581035
"Byers & Pecos Park","2018","PG-NEIGHBORHOOD",-105.00741923,39.7118757,3797.43290303485
"Bates & Hobart Park","2007","PG-NEIGHBORHOOD",-105.06109448,39.66151526,2447.43504312541
"Stanford & Balsam",,"PG-NEIGHBORHOOD",-105.09441767,39.63496067,3730.7805005878
"City Park","1992","PG-NEIGHBORHOOD",-104.94517056,39.74540593,7930.33747400933
"Columbus Park","2002","PG-NEIGHBORHOOD",-105.00451062,39.77027137,3850.2165739364
"Johnson-Habitat","2015","PG-COMMUNITY",-104.99838127,39.70523128,3018.48040905991
"Johnson-Habitat","2015","PG-COMMUNITY",-104.9987476,39.70566331,3458.0332337926
"Mestizo Curtis Park","2015","PG-NEIGHBORHOOD",-104.97587477,39.76139231,6467.81410975349
"Kentucky & Knox Park","2009","PG-NEIGHBORHOOD",-105.03271043,39.70069911,3066.42621728737
"Hallack Park","2013","PG-NEIGHBORHOOD",-105.03040718,39.74664671,5791.84827660009
"Garfield Lake Park","1993","PG-COMMUNITY",-105.0374285,39.69523707,5223.60078611639
"Garland (David T) Park","1992","PG-COMMUNITY",-104.91892359,39.69634083,3568.35930979112
"Aspgren Park","1991","PG-NEIGHBORHOOD",-105.00244838,39.70417072,3281.47390648155
"Falcon Park","2017","PG-NEIGHBORHOOD",-104.8296206,39.79353677,5455.75810251245
"Weir Gulch Marina","2014","PG-NEIGHBORHOOD",-105.0178992,39.73208106,8835.54552725197
"McWilliams Park","1990","PG-NEIGHBORHOOD",-104.95365903,39.66800317,4489.09190130267
"Eisenhower (Mamie Daud) Park","1992","PG-COMMUNITY",-104.93685388,39.65915003,8620.83424098473
"Benedict Fountain Park","2013","PG-NEIGHBORHOOD",-104.98208226,39.74792008,3557.76692079669
"Martin Luther King Jr Park","2017","PG-NEIGHBORHOOD",-104.90914106,39.77025937,3779.29459363816
"Montbello Open Space","2018",,-104.84365846,39.7799751,1956.59278667287
"Sanchez (Paco) Park","2018","PG-COMMUNITY",-105.03092713,39.73760677,16938.4180119574
"Westwood Park","2018","PG-NEIGHBORHOOD",-105.05034427,39.70125877,8779.19719763277
"Pasquinel's Landing","2017",,-104.99754025,39.68004342,1502.84265292373
"La Alma / Lincoln Park","2017","PG-COMMUNITY",-105.00362991,39.73435622,7995.39049034658
"Quick (Lenore B) Park","2017","PG-NEIGHBORHOOD",-104.97492253,39.75443031,4106.47972541091
"Dunham (Lee) Park","2017","PG-NEIGHBORHOOD",-104.95437528,39.77872767,4248.35094331264
"Grant Frontier Park","2017","PG-NEIGHBORHOOD",-104.99703872,39.67568464,4636.70974125379
"Montbello Central Park","2018","PG-COMMUNITY",-104.82955617,39.78450882,6472.09051835525
"Sanderson Gulch - Irving & Java","2010","PG-NEIGHBORHOOD",-105.02931013,39.68704156,5742.47163571111
"Bear Creek Park","2009","PG-REGIONAL",-105.04609755,39.65313624,10142.0207022983
"Weir Gulch Park","1998","PG-NEIGHBORHOOD",-105.03697381,39.7198261,4138.21588353839
"Parkfield","2011","PG-REGIONAL",-104.8061607,39.79319291,15741.8668771586
"Cuatro Vientos","2014","PG-NEIGHBORHOOD",-105.03796477,39.71061709,5237.78803222848
"Governors Park","1998","PG-NEIGHBORHOOD",-104.9817404,39.72754731,4738.73953464601
"Gates Crescent Park","1997","PG-COMMUNITY",-105.01618197,39.7492037,9224.96174509564
"Elemendorf Park","2010","PG-NEIGHBORHOOD",-104.84187024,39.79256011,4580.31585580703
"Town Center","2007","PG-COMMUNITY",-104.76616591,39.78887777,7679.57480808414
"City Park","1996","PG-REGIONAL",-104.95536574,39.74778197,17327.7585113643
"Sunken Gardens Park","2000","PG-COMMUNITY",-104.99227974,39.72975158,4471.14201342959
"Central Park","2007","PG-REGIONAL",-104.88489942,39.7609265,21489.5879945089
"Wallace (George M) Park","1999","PG-COMMUNITY",-104.89005134,39.6286424,5234.9628678656
"42nd & Lisbon","2004","PG-COMMUNITY",-104.7466712,39.77260404,7865.84037205406
"City of Nairobi","2013","PG-NEIGHBORHOOD",-104.94684675,39.76609477,4106.00455421656
"Platt (James H) Park","2001","PG-NEIGHBORHOOD",-104.98316113,39.68867259,2932.70851568331
"City of Potenza Park","2001","PG-NEIGHBORHOOD",-104.92422731,39.69617036,2384.96747422131
"Garland (David T) Park","2014","PG-COMMUNITY",-104.91496157,39.69407454,6443.83697097137
"Sanderson Gulch Open Space","1995","PG-NEIGHBORHOOD",-105.03712785,39.6851128,6331.96862699071
"Great Lawn Park","2008","PG-REGIONAL",-104.88629856,39.72356837,11332.7584820951
"Sandhills Prairie","2018","PG-COMMUNITY",-104.88651832,39.79438625,1608.17285601117
"Cottonwood Gallery","2018","PG-NEIGHBORHOOD",-104.88857712,39.79271184,1905.15190641991
"Cottonwood Gallery","2018","PG-NEIGHBORHOOD",-104.88854657,39.79226091,2377.86795346585
"Cottonwood Gallery","2018","PG-NEIGHBORHOOD",-104.88831515,39.79207191,1549.83163434358
"Cottonwood Gallery","2018","PG-NEIGHBORHOOD",-104.8889118,39.79234324,3649.94359577675
"First Creek Park","2019","PG-NEIGHBORHOOD",-104.76847751,39.79361384,1478.01073396556
,,,-104.76829499,39.79359517,2303.25682486873
