"name","class","has_nature","has_garden","has_biking","long","lat","sqft"
"Yeagge Peak Tract","Mountain",TRUE,FALSE,FALSE,-105.22082569,39.54202903,1789637.50449807
"Bergen Peak Tract","Mountain",FALSE,FALSE,FALSE,-105.3859787,39.66970877,27040572.9427358
"Mount Falcon Tract","Mountain",TRUE,FALSE,FALSE,-105.21726226,39.6258702,3674310.06921468
"Greenway Park","Linear",TRUE,TRUE,TRUE,-104.89118022,39.7529316,1761147.62644623
"Globeville Landing Park","Neighborhood",FALSE,FALSE,TRUE,-104.97684284,39.77706119,350225.072559207
"Gates Crescent Park","Neighborhood",TRUE,FALSE,TRUE,-105.01667684,39.74726497,471026.152263122
"City of Cuernavaca Park","Community",TRUE,FALSE,TRUE,-105.00039375,39.7626276,1077922.13041295
"Marrama Park","Neighborhood",FALSE,FALSE,FALSE,-104.76321646,39.77303343,64244.7886806701
"Green Valley Ranch West Park","Neighborhood",FALSE,FALSE,FALSE,-104.76815762,39.77859945,152436.955232067
"Williams (Dr. Daniel Hale) Park","Pocket",FALSE,FALSE,FALSE,-104.97108908,39.75964068,26683.5386496944
"Falcon Park","Neighborhood",FALSE,FALSE,TRUE,-104.82837032,39.79297321,419599.999636877
"Bayaud Park","Linear",FALSE,FALSE,TRUE,-104.89870471,39.71462494,302487.171501947
"Prairie Park","Linear",TRUE,FALSE,TRUE,-104.9516049,39.6816885,323454.505837984
"Sanderson Gulch - Irving & Java","Linear",FALSE,FALSE,TRUE,-105.02809252,39.68677934,288070.388319021
"Unnamed 47th & Telluride Park","Undeveloped",FALSE,FALSE,FALSE,-104.78062098,39.78044228,572456.737534034
"Lookout Mountain Park","Mountain",TRUE,FALSE,FALSE,-105.24180865,39.73318902,3269488.7340858
"Highline Canal (Maxwell to 56th)","Undeveloped",TRUE,FALSE,TRUE,-104.75210411,39.79664896,185992.363778876
"City of Chennai Park","Neighborhood",TRUE,FALSE,TRUE,-104.90212166,39.68652829,351762.33381198
"Cheesman Park","Regional",FALSE,FALSE,TRUE,-104.96645337,39.73278794,3514617.61024191
"Buchtel Centennial Park","Pocket",FALSE,FALSE,FALSE,-104.95727457,39.68210794,17036.7742191973
"Silverman (Melvin F) Park","Neighborhood",FALSE,FALSE,TRUE,-104.84029108,39.78582173,391358.153443586
"Diamond Hill Promenade","Linear",FALSE,FALSE,TRUE,-105.01619254,39.75336161,86520.7347389494
"Eisenhower (Mamie Doud) Park","Community",FALSE,FALSE,TRUE,-104.93615046,39.65955259,879587.941904152
"La Familia Recreation Center","Recreation Center",FALSE,FALSE,FALSE,-104.99433304,39.71555611,37073.0696215152
"Daniels Park","Mountain",FALSE,FALSE,FALSE,-104.92991576,39.48269378,42846915.7933578
"Bear Creek Canyon Tract","Mountain",TRUE,FALSE,FALSE,-105.22071025,39.65653541,5528958.88657779
"Ford (Barney L) Park","Neighborhood",FALSE,FALSE,FALSE,-104.81720457,39.79179241,189864.383880995
"Hallack Park","Neighborhood",FALSE,FALSE,FALSE,-105.03073141,39.74697827,129466.747142871
"McNichols (William H) Park","Neighborhood",FALSE,FALSE,TRUE,-104.89935554,39.74471184,142032.486558797
"Burns (DC) Park","Neighborhood",FALSE,FALSE,FALSE,-104.9393433,39.7126777,538079.439520068
"Community Plaza Park","Pocket",FALSE,FALSE,FALSE,-105.0048538,39.76270257,41409.0008658856
"Douglass (Fredrick) Park","Pocket",FALSE,FALSE,FALSE,-104.96807887,39.75936188,22127.4548534196
"Jacobs (Frances Weisbart) Park","Neighborhood",FALSE,FALSE,TRUE,-104.90574483,39.69656292,523617.74686441
"Northfield Pond Park","Open Space",TRUE,FALSE,TRUE,-104.89779145,39.78248559,1460657.27702011
"Denver Skate Park","Special Use",FALSE,FALSE,FALSE,-105.00272548,39.75958824,83308.8603716516
"Fuller Park","Neighborhood",FALSE,FALSE,FALSE,-104.96717374,39.75756123,254635.982555723
"Highland Senior Center Park","Neighborhood",FALSE,FALSE,FALSE,-105.03718529,39.75818269,81047.3223443741
"Vanderbilt East Park","Undeveloped",FALSE,FALSE,FALSE,-104.99270822,39.70133589,152631.919443607
"Cheesman Park Esplanade","Neighborhood",FALSE,FALSE,FALSE,-104.96529818,39.72819308,115777.970960127
"Carpio Sanguinette Park","Neighborhood",FALSE,FALSE,TRUE,-104.97236721,39.79025568,676090.919000619
"Mestizo-Curtis Park","Neighborhood",FALSE,FALSE,TRUE,-104.97632553,39.76127925,370893.146874201
"St. Charles Place Park","Neighborhood",FALSE,FALSE,FALSE,-104.97112646,39.76957454,106862.560906139
"Robinson Park","Neighborhood",FALSE,FALSE,FALSE,-104.92692905,39.72020351,295543.93170473
"Fishback Park","Neighborhood",TRUE,FALSE,TRUE,-105.01188045,39.75290998,94593.6383532591
"Civic Center Park","Regional",FALSE,FALSE,FALSE,-104.98881275,39.73908209,461936.149433616
"Crestmoor Park","Community",FALSE,FALSE,TRUE,-104.91534993,39.71536396,1621398.34446772
"Viking Park","Neighborhood",FALSE,FALSE,TRUE,-105.02392505,39.7590745,250242.89161023
"Confluence East Park","Community",FALSE,FALSE,TRUE,-105.00760105,39.75455696,40011.6956949538
"Highline Canal (Orleans to Nepal)","Linear",TRUE,FALSE,TRUE,-104.73919178,39.78386097,45290.7048523252
"First Creek - Dunkirk to Tower","Open Space",TRUE,FALSE,TRUE,-104.76715655,39.79384422,531568.605969186
"Highline Canal (Picadilly to Orleans)","Linear",TRUE,FALSE,TRUE,-104.73595231,39.78372522,119825.163772811
"Manley (James N) Park","Neighborhood",FALSE,FALSE,TRUE,-104.95769339,39.72286778,62406.6075034575
"Lowry Sports Complex","Athletic Complex",FALSE,FALSE,TRUE,-104.88971011,39.71724295,2239729.98861393
"Veterans Park","Community",FALSE,FALSE,TRUE,-104.96278518,39.68683198,706022.060835817
"Johnson-Habitat Park","Community",TRUE,FALSE,FALSE,-104.99827405,39.70567174,334505.841853397
"Northfield Athletic Complex","Athletic Complex",FALSE,FALSE,TRUE,-104.87904447,39.7968785,909208.594760981
"Lower Lakewood Gulch","Open Space",FALSE,FALSE,TRUE,-105.02021684,39.73861389,288025.207715828
"Platte River at Elitch Gardens","Linear",TRUE,FALSE,TRUE,-105.01436093,39.74819434,292464.407447071
"Ford Pl","Linear",FALSE,FALSE,FALSE,-105.03137743,39.69870112,62217.7080424818
"Bulk Fuel Farm","Undeveloped",FALSE,FALSE,FALSE,-104.88968119,39.7726042,1030547.93444557
"Inspiration Point Park","Community",TRUE,FALSE,TRUE,-105.05673811,39.78662488,1109573.95113772
"Maestas (Eddie) Park","Special Use",FALSE,TRUE,FALSE,-104.98766365,39.7550742,16114.1656398659
"Martinez (Joseph P) Park","Neighborhood",FALSE,FALSE,TRUE,-105.04208879,39.73071477,529324.095676232
"Golden Key Park","Neighborhood",FALSE,FALSE,TRUE,-104.88675532,39.66314864,123265.12228539
"Garland (David T) Park","Community",FALSE,FALSE,TRUE,-104.91688165,39.69538814,2190289.29152314
"Harvard Gulch West","Linear",FALSE,FALSE,TRUE,-105.02134405,39.67056947,523358.446124008
"Unnamed Byers & Pecos Park","Pocket",FALSE,FALSE,FALSE,-105.00701228,39.71189448,43167.9862988405
"Hentzell (Paul A) Park","Open Space",TRUE,FALSE,TRUE,-104.87117455,39.66332109,2578455.07046466
"Platt (James H) Park","Neighborhood",FALSE,FALSE,FALSE,-104.98340258,39.68848321,162166.476779227
"Athmar Park","Neighborhood",FALSE,FALSE,FALSE,-105.01972179,39.6851676,143301.967124708
"Pinecrest Village Park","Neighborhood",FALSE,FALSE,TRUE,-105.05556228,39.64668384,309971.41000689
"Cranmer Park","Community",FALSE,FALSE,FALSE,-104.93549784,39.7193483,1051751.37559506
"Garfield Lake Park","Community",FALSE,FALSE,TRUE,-105.03556208,39.69542307,1263170.66345601
"Grant Frontier Park","Neighborhood",TRUE,FALSE,TRUE,-104.9969857,39.67397333,386336.855244046
"Washington Park","Regional",FALSE,FALSE,TRUE,-104.97096087,39.70007732,6853293.68255149
"Derby Canal","Undeveloped",FALSE,FALSE,FALSE,-104.78368424,39.78017178,285406.607884747
"Lowry Dam","Open Space",FALSE,FALSE,FALSE,-104.88362635,39.7158548,2009520.70686219
"Central Park","Regional",TRUE,FALSE,TRUE,-104.88418477,39.76156414,3310860.69896132
"20th St Rec Center","Recreation Center",FALSE,FALSE,FALSE,-104.99000668,39.75130533,12542.5230706656
"Hampden Heights Park","Community",FALSE,FALSE,TRUE,-104.87744155,39.65804452,1414076.08018294
"Magna Carta Park","Neighborhood",FALSE,FALSE,TRUE,-104.93994799,39.65407127,156272.343336936
"City Park Municipal Golf Course","Golf",FALSE,FALSE,FALSE,-104.95036585,39.75279644,6041236.06845847
"Zeckendorf Plaza Park","Pocket",FALSE,FALSE,FALSE,-104.98650793,39.72704633,14859.4622225062
"Harvey Park","Community",FALSE,FALSE,TRUE,-105.0414696,39.67866999,1065378.96435578
