"name","license_type","long","lat"
"SMALL ANGELS LLC","home",-105.032572112368,39.6671647159637
"DENVER PUBLIC SCHOOLS","center",-105.029408070865,39.7173582804394
"ROBERT E LOUP JEWISH COMMUNITY CENTER","center",-104.935593537808,39.7172750011367
"HOME AWAY FROM HOME","home",-104.960622185798,39.761311300228
"DEBBIE LIDOR","home",-104.926616743174,39.7182500946815
"ILIFF PRESCHOOL, INC","center",-104.938716512162,39.6743888302265
"DPR-COMMUNITY RECREATION SUMMER IN THE PARKS","center",-104.959015072956,39.753847813095
"UNIVERSITY CHILD CARE CENTER","center",-104.931317698264,39.7307941952849
"SCHLESSMAN FAMILY YMCA & FAMILY CENTER","center",-104.941357006761,39.6689217043511
"KATHLEEN D RICHARD","home",-104.830133667415,39.7885987874301
"LITTLE EINSTEINS ACADEMY","center",-105.026517562357,39.6879280664476
"NORTHEAST CHILD CARE CENTER","center",-104.972467543862,39.7659879762298
"YMCA OF METROPOLITAN DENVER @ SCHEITTER","center",-105.051422462898,39.7813756131707
