"long","lat","sport","location","tier","class","sqft","bgroup_id2","nbhd_id","nbhd_name"
-104.82592823,39.78308721,"Mixed-use","Montbello Central Park","B","MU-TURF",62756.8046201143,"80310083872",45,"Montbello"
-104.82657297,39.78265534,"Mixed-use","Montbello Central Park","B","MU-TURF",62619.1854533971,"80310083872",45,"Montbello"
-104.82663028,39.78434316,"Baseball","Montbello Central Park","A","BF-A",127042.153265545,"80310083872",45,"Montbello"
-104.82684026,39.7821396,"Mixed-use","Montbello Central Park","A","MU-TURF",13486.1611580691,"80310083872",45,"Montbello"
-104.82710378,39.79305628,"Softball","Falcon Park","C","BF-C",31571.7999670545,"80310083053",45,"Montbello"
-104.82725073,39.78248789,"Mixed-use","Montbello Central Park","A","MU-TURF",13486.2030452807,"80310083872",45,"Montbello"
-104.8275631,39.7850926,"Softball","Montbello Central Park","A","BF-A",89638.6400216545,"80310083872",45,"Montbello"
-104.8277353,39.78366365,"Baseball","Montbello Central Park","A","BF-A",127281.286272021,"80310083872",45,"Montbello"
-104.82774431,39.7931491,"Mixed-use","Falcon Park","C","MU-TURF",35963.0029573779,"80310083053",45,"Montbello"
-104.82799912,39.79275459,"Mixed-use","Falcon Park","C","MU-TURF",28770.3885120756,"80310083053",45,"Montbello"
-104.82846216,39.78455436,"Softball","Montbello Central Park","A","BF-A",92138.9037161439,"80310083872",45,"Montbello"
-104.82875352,39.79339163,"Softball","Falcon Park","C","BF-C",31694.8256570721,"80310083053",45,"Montbello"
-104.82877567,39.79300841,"Mixed-use","Falcon Park","C","",53944.4623998272,"80310083053",45,"Montbello"
-104.8328684,39.77802238,"Mixed-use","Village Place Park","C","",35963.3780453781,"80310083121",45,"Montbello"
-104.83318064,39.77769299,"Softball","Village Place Park","C","BF-C",31381.9833697034,"80310083121",45,"Montbello"
-104.83964334,39.78568482,"Mixed-use","Silverman (Melvin F) Park","C","MU-TURF",28770.4716589062,"80310083061",45,"Montbello"
-104.83981727,39.78608762,"Mixed-use","Silverman (Melvin F) Park","C","MU-TURF",35963.1055625607,"80310083061",45,"Montbello"
-104.84092679,39.79248344,"Softball","Elmendorf Park","C","BF-C",22768.8927156881,"80310083043",45,"Montbello"
-104.84094492,39.7929515,"Softball","Elmendorf Park","C","BF-C",23070.1641451201,"80310083043",45,"Montbello"
-104.84105242,39.79273061,"Mixed-use","Elmendorf Park","C","",35963.01220167,"80310083043",45,"Montbello"
-104.8533796,39.65642621,"Softball","Kennedy Ballfields Complex","A","BF-A",121656.71613486,"80310070061",40,"Kennedy"
-104.85350482,39.65740747,"Softball","Kennedy Ballfields Complex","A","BF-A",88570.0197691123,"80310070061",40,"Kennedy"
-104.85464599,39.6574206,"Softball","Kennedy Ballfields Complex","A","BF-A",84371.42001054,"80310070061",40,"Kennedy"
-104.85465934,39.65655872,"Softball","Kennedy Ballfields Complex","A","BF-A",84820.180388642,"80310070061",40,"Kennedy"
-104.85558402,39.65599461,"Softball","Kennedy Ballfields Complex","A","BF-B",93933.313586725,"80310070061",40,"Kennedy"
-104.85558799,39.65502349,"Softball","Kennedy Ballfields Complex","A","BF-B",92302.2418686435,"80310070061",40,"Kennedy"
-104.85683957,39.65600826,"Softball","Kennedy Ballfields Complex","A","BF-B",94734.2487263508,"80310070061",40,"Kennedy"
-104.85684465,39.65503565,"Softball","Kennedy Ballfields Complex","A","BF-B",92331.699339773,"80310070061",40,"Kennedy"
